hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
113001_0,72754,65832,0.525,138586,0.525
113001_1,72697,66315,0.523,139012,0.523
113001_2,72292,66313,0.522,138605,0.522
113001_3,72081,66889,0.519,138970,0.519
113001_4,72019,66879,0.519,138898,0.519
113001_5,72094,66507,0.52,138601,0.52
113001_6,71762,66725,0.518,138487,0.518
113001_7,71734,67180,0.516,138914,0.516
113001_8,71595,66773,0.517,138368,0.517
113002_0,71041,68294,0.51,139335,0.51
113002_1,71240,67994,0.512,139234,0.512
113002_2,70646,67612,0.511,138258,0.511
113002_3,71070,68187,0.51,139257,0.51
113002_4,70816,67916,0.51,138732,0.51
113002_5,71209,68248,0.511,139457,0.511
113002_6,71174,67418,0.514,138592,0.514
113002_7,70545,67938,0.509,138483,0.509
113002_8,70960,67539,0.512,138499,0.512
113008_0,80194,59373,0.575,139567,0.575
113008_1,79357,59327,0.572,138684,0.572
113008_2,80703,57911,0.582,138614,0.582
113008_3,81389,57912,0.584,139301,0.584
113008_4,80779,57994,0.582,138773,0.582
113008_5,81636,57412,0.587,139048,0.587
113008_6,81322,57253,0.587,138575,0.587
113008_7,80874,57768,0.583,138642,0.583
113008_8,81621,56653,0.59,138274,0.59
113010_0,71717,67401,0.516,139118,0.516
113010_1,70341,68234,0.508,138575,0.508
113010_2,71101,68213,0.51,139314,0.51
113010_3,70481,67994,0.509,138475,0.509
113010_4,70121,68435,0.506,138556,0.506
113010_5,70769,67812,0.511,138581,0.511
113010_6,70888,68650,0.508,139538,0.508
113010_7,70164,68377,0.506,138541,0.506
113010_8,71038,68387,0.51,139425,0.51
113011_0,72567,66886,0.52,139453,0.52
113011_1,71582,66978,0.517,138560,0.517
113011_2,71088,67403,0.513,138491,0.513
113011_3,72164,66717,0.52,138881,0.52
113011_4,71511,67186,0.516,138697,0.516
113011_5,71614,66790,0.517,138404,0.517
113011_6,72259,66701,0.52,138960,0.52
113011_7,72033,66678,0.519,138711,0.519
113011_8,71693,67278,0.516,138971,0.516
113012_0,72810,65675,0.526,138485,0.526
113012_1,72681,65874,0.525,138555,0.525
113012_2,73585,65677,0.528,139262,0.528
113012_3,72530,66155,0.523,138685,0.523
113012_4,72267,66236,0.522,138503,0.522
113012_5,72541,65878,0.524,138419,0.524
113012_6,72790,65967,0.525,138757,0.525
113012_7,72729,66688,0.522,139417,0.522
113012_8,72616,65950,0.524,138566,0.524
113013_0,82484,55958,0.596,138442,0.596
113013_1,81558,57344,0.587,138902,0.587
113013_2,82128,56533,0.592,138661,0.592
113013_3,80968,58325,0.581,139293,0.581
113013_4,79396,58968,0.574,138364,0.574
113013_5,80684,58094,0.581,138778,0.581
113013_6,80095,58605,0.577,138700,0.577
113013_7,78906,59670,0.569,138576,0.569
113013_8,80333,58490,0.579,138823,0.579
113018_0,69640,69741,0.5,139381,0.5
113018_1,68076,70375,0.492,138451,0.492
113018_2,68216,70320,0.492,138536,0.492
113018_3,67760,71183,0.488,138943,0.488
113018_4,66769,71418,0.483,138187,0.483
113018_5,67512,71268,0.486,138780,0.486
113018_6,67025,71437,0.484,138462,0.484
113018_7,66779,71590,0.483,138369,0.483
113018_8,67850,71051,0.488,138901,0.488
113019_0,65367,73041,0.472,138408,0.472
113019_1,66177,72612,0.477,138789,0.477
113019_2,66770,71941,0.481,138711,0.481
113019_3,66713,72221,0.48,138934,0.48
113019_4,66456,72422,0.479,138878,0.479
113019_5,66634,71909,0.481,138543,0.481
113019_6,66478,71829,0.481,138307,0.481
113019_7,66972,72110,0.482,139082,0.482
113019_8,66457,71582,0.481,138039,0.481
113020_0,81023,57465,0.585,138488,0.585
113020_1,80076,58688,0.577,138764,0.577
113020_2,81094,56818,0.588,137912,0.588
113020_3,79977,58672,0.577,138649,0.577
113020_4,79558,59430,0.572,138988,0.572
113020_5,81470,58236,0.583,139706,0.583
113020_6,79741,59682,0.572,139423,0.572
113020_7,78620,59827,0.568,138447,0.568
113020_8,80491,58198,0.58,138689,0.58
113021_0,79668,58744,0.576,138412,0.576
113021_1,79593,59030,0.574,138623,0.574
113021_2,80042,58619,0.577,138661,0.577
113021_3,79869,58823,0.576,138692,0.576
113021_4,79784,58695,0.576,138479,0.576
113021_5,79361,58857,0.574,138218,0.574
113021_6,79546,58479,0.576,138025,0.576
113021_7,79977,58664,0.577,138641,0.577
113021_8,80635,58409,0.58,139044,0.58
113023_0,62619,76115,0.451,138734,0.451
113023_1,62958,75838,0.454,138796,0.454
113023_2,63233,75954,0.454,139187,0.454
113023_3,63052,75802,0.454,138854,0.454
113023_4,63189,75582,0.455,138771,0.455
113023_5,63083,75508,0.455,138591,0.455
113023_6,63263,75234,0.457,138497,0.457
113023_7,63307,75286,0.457,138593,0.457
113023_8,63751,75306,0.458,139057,0.458
113024_0,66630,73092,0.477,139722,0.477
113024_1,66750,72644,0.479,139394,0.479
113024_2,65925,72377,0.477,138302,0.477
113024_3,66152,72865,0.476,139017,0.476
113024_4,65978,72803,0.475,138781,0.475
113024_5,66116,72768,0.476,138884,0.476
113024_6,66238,72325,0.478,138563,0.478
