hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
101001_0,99558,83518,0.544,183076,0.544
101001_1,99519,82958,0.545,182477,0.545
101001_2,99874,82962,0.546,182836,0.546
101001_3,100382,82719,0.548,183101,0.548
101001_4,99560,83014,0.545,182574,0.545
101001_5,99962,83184,0.546,183146,0.546
101001_6,99968,82872,0.547,182840,0.547
101001_7,100021,82877,0.547,182898,0.547
101001_8,99931,82417,0.548,182348,0.548
101002_0,92108,90134,0.505,182242,0.505
101002_1,92465,91373,0.503,183838,0.503
101002_2,92121,90739,0.504,182860,0.504
101002_3,91431,91078,0.501,182509,0.501
101002_4,91984,91683,0.501,183667,0.501
101002_5,90950,91571,0.498,182521,0.498
101002_6,91435,91068,0.501,182503,0.501
101002_7,91962,91176,0.502,183138,0.502
101002_8,91521,91639,0.5,183160,0.5
101008_0,93116,90025,0.508,183141,0.508
101008_1,93203,89724,0.51,182927,0.51
101008_2,93754,89114,0.513,182868,0.513
101008_3,93733,88498,0.514,182231,0.514
101008_4,93605,88506,0.514,182111,0.514
101008_5,94812,87852,0.519,182664,0.519
101008_6,95440,87655,0.521,183095,0.521
101008_7,94436,88368,0.517,182804,0.517
101008_8,95207,87851,0.52,183058,0.52
101010_0,107602,75394,0.588,182996,0.588
101010_1,105552,76401,0.58,181953,0.58
101010_2,107590,74885,0.59,182475,0.59
101010_3,107885,74164,0.593,182049,0.593
101010_4,107017,76413,0.583,183430,0.583
101010_5,107212,75223,0.588,182435,0.588
101010_6,107413,75106,0.589,182519,0.589
101010_7,106341,76250,0.582,182591,0.582
101010_8,106887,75672,0.585,182559,0.585
101011_0,93329,89651,0.51,182980,0.51
101011_1,92938,90069,0.508,183007,0.508
101011_2,93347,89765,0.51,183112,0.51
101011_3,93782,88424,0.515,182206,0.515
101011_4,92990,90001,0.508,182991,0.508
101011_5,93779,88899,0.513,182678,0.513
101011_6,93786,88955,0.513,182741,0.513
101011_7,93799,89205,0.513,183004,0.513
101011_8,94669,88285,0.517,182954,0.517
101012_0,94249,87622,0.518,181871,0.518
101012_1,94896,88673,0.517,183569,0.517
101012_2,94494,88323,0.517,182817,0.517
101012_3,94919,88156,0.518,183075,0.518
101012_4,94261,88394,0.516,182655,0.516
101012_5,93986,88666,0.515,182652,0.515
101012_6,94746,88224,0.518,182970,0.518
101012_7,94079,89315,0.513,183394,0.513
101012_8,94482,88720,0.516,183202,0.516
101013_0,113288,68470,0.623,181758,0.623
101013_1,112117,71131,0.612,183248,0.612
101013_2,114563,68171,0.627,182734,0.627
101013_3,113339,69066,0.621,182405,0.621
101013_4,112157,71041,0.612,183198,0.612
101013_5,114298,68651,0.625,182949,0.625
101013_6,112826,70082,0.617,182908,0.617
101013_7,111144,71562,0.608,182706,0.608
101013_8,113546,68961,0.622,182507,0.622
101018_0,95114,87590,0.521,182704,0.521
101018_1,94773,87876,0.519,182649,0.519
101018_2,94612,88574,0.516,183186,0.516
101018_3,94358,88433,0.516,182791,0.516
101018_4,93276,89179,0.511,182455,0.511
101018_5,94323,88038,0.517,182361,0.517
101018_6,94486,88138,0.517,182624,0.517
101018_7,94211,88684,0.515,182895,0.515
101018_8,95265,87889,0.52,183154,0.52
101019_0,89720,93436,0.49,183156,0.49
101019_1,90197,92413,0.494,182610,0.494
101019_2,89410,92990,0.49,182400,0.49
101019_3,89145,93835,0.487,182980,0.487
101019_4,89525,93455,0.489,182980,0.489
101019_5,89156,93535,0.488,182691,0.488
101019_6,89621,93618,0.489,183239,0.489
101019_7,89067,93437,0.488,182504,0.488
101019_8,89048,93445,0.488,182493,0.488
101020_0,100549,82330,0.55,182879,0.55
101020_1,100213,83268,0.546,183481,0.546
101020_2,101057,81963,0.552,183020,0.552
101020_3,100668,82303,0.55,182971,0.55
101020_4,99993,82618,0.548,182611,0.548
101020_5,101804,81415,0.556,183219,0.556
101020_6,100723,82502,0.55,183225,0.55
101020_7,99824,82165,0.549,181989,0.549
101020_8,101242,81599,0.554,182841,0.554
101021_0,89672,93298,0.49,182970,0.49
101021_1,89366,93587,0.488,182953,0.488
101021_2,89142,93306,0.489,182448,0.489
101021_3,89718,93440,0.49,183158,0.49
101021_4,89417,93639,0.488,183056,0.488
101021_5,89676,93057,0.491,182733,0.491
101021_6,90564,92501,0.495,183065,0.495
101021_7,89732,92432,0.493,182164,0.493
101021_8,89948,93036,0.492,182984,0.492
101023_0,88684,94319,0.485,183003,0.485
101023_1,89417,94147,0.487,183564,0.487
101023_2,88440,94905,0.482,183345,0.482
101023_3,88547,94111,0.485,182658,0.485
101023_4,88868,93981,0.486,182849,0.486
101023_5,88479,93655,0.486,182134,0.486
101023_6,88927,93731,0.487,182658,0.487
101023_7,88456,92990,0.488,181446,0.488
101023_8,89273,92866,0.49,182139,0.49
101024_0,89226,94250,0.486,183476,0.486
101024_1,89698,93289,0.49,182987,0.49
101024_2,88850,94028,0.486,182878,0.486
101024_3,88690,94115,0.485,182805,0.485
101024_4,89459,93508,0.489,182967,0.489
101024_5,88354,94171,0.484,182525,0.484
101024_6,89536,94082,0.488,183618,0.488
101024_7,90093,92852,0.492,182945,0.492
101024_8,89713,93122,0.491,182835,0.491
101025_0,91490,91284,0.501,182774,0.501
101025_1,92001,90628,0.504,182629,0.504
101025_2,92482,90766,0.505,183248,0.505
101025_3,92057,90034,0.506,182091,0.506
101025_4,92900,89734,0.509,182634,0.509
101025_5,92791,90117,0.507,182908,0.507
101025_6,92688,90125,0.507,182813,0.507
101025_7,93513,89481,0.511,182994,0.511
101025_8,93236,89904,0.509,183140,0.509
101026_0,96518,87009,0.526,183527,0.526
101026_1,96483,87035,0.526,183518,0.526
101026_2,96262,87391,0.524,183653,0.524
101026_3,95924,86549,0.526,182473,0.526
101026_4,96125,86752,0.526,182877,0.526
101026_5,96153,86310,0.527,182463,0.527
101026_6,96093,86944,0.525,183037,0.525
101026_7,96394,87281,0.525,183675,0.525
101026_8,95335,87565,0.521,182900,0.521
101027_0,88927,93126,0.488,182053,0.488
101027_1,89697,92544,0.492,182241,0.492
101027_2,88977,93200,0.488,182177,0.488
101027_3,89469,93292,0.49,182761,0.49
101027_4,89570,92993,0.491,182563,0.491
101027_5,89348,93366,0.489,182714,0.489
101027_6,89717,92197,0.493,181914,0.493
101027_7,90453,92387,0.495,182840,0.495
101027_8,90652,91978,0.496,182630,0.496
101031_0,92287,89837,0.507,182124,0.507
101031_1,92166,90533,0.504,182699,0.504
101031_2,93130,89840,0.509,182970,0.509
101031_3,93504,89598,0.511,183102,0.511
101031_4,92287,90767,0.504,183054,0.504
101031_5,92879,89353,0.51,182232,0.51
101031_6,93674,88909,0.513,182583,0.513
101031_7,92670,89443,0.509,182113,0.509
101031_8,94226,89340,0.513,183566,0.513
101032_0,90703,92141,0.496,182844,0.496
101032_1,91116,92043,0.497,183159,0.497
101032_2,89608,92723,0.491,182331,0.491
101032_3,90195,92598,0.493,182793,0.493
101032_4,90708,92575,0.495,183283,0.495
101032_5,89386,92473,0.492,181859,0.492
101032_6,89817,92965,0.491,182782,0.491
101032_7,90283,92429,0.494,182712,0.494
101032_8,90221,92630,0.493,182851,0.493
101033_0,99305,84021,0.542,183326,0.542
101033_1,98457,84335,0.539,182792,0.539
101033_2,98987,83865,0.541,182852,0.541
101033_3,99558,83050,0.545,182608,0.545
101033_4,98038,84123,0.538,182161,0.538
101033_5,99176,83448,0.543,182624,0.543
101033_6,99321,84093,0.542,183414,0.542
101033_7,98296,84277,0.538,182573,0.538
101033_8,99421,83915,0.542,183336,0.542
101034_0,85542,96999,0.469,182541,0.469
101034_1,86084,96591,0.471,182675,0.471
101034_2,85466,96705,0.469,182171,0.469
101034_3,85972,96615,0.471,182587,0.471
101034_4,86058,96954,0.47,183012,0.47
101034_5,86385,96257,0.473,182642,0.473
101034_6,86900,95911,0.475,182811,0.475
101034_7,87051,96033,0.475,183084,0.475
101034_8,86962,95786,0.476,182748,0.476
101035_0,87831,95195,0.48,183026,0.48
101035_1,87560,94532,0.481,182092,0.481
101035_2,88623,94844,0.483,183467,0.483
101035_3,88583,94414,0.484,182997,0.484
101035_4,88290,94148,0.484,182438,0.484
101035_5,89071,93728,0.487,182799,0.487
101035_6,89520,94003,0.488,183523,0.488
101035_7,89179,93412,0.488,182591,0.488
101035_8,89984,92967,0.492,182951,0.492
101036_0,92835,90374,0.507,183209,0.507
101036_1,93480,89367,0.511,182847,0.511
101036_2,92914,89842,0.508,182756,0.508
101036_3,92125,89241,0.508,181366,0.508
101036_4,93245,90156,0.508,183401,0.508
101036_5,93590,89802,0.51,183392,0.51
101036_6,92869,89843,0.508,182712,0.508
101036_7,93612,89470,0.511,183082,0.511
101036_8,93314,89849,0.509,183163,0.509
101038_0,94337,88650,0.516,182987,0.516
101038_1,94238,88474,0.516,182712,0.516
101038_2,93979,88269,0.516,182248,0.516
101038_3,93944,88537,0.515,182481,0.515
101038_4,93555,88685,0.513,182240,0.513
101038_5,94144,89027,0.514,183171,0.514
101038_6,94535,88588,0.516,183123,0.516
101038_7,93727,88850,0.513,182577,0.513
101038_8,93634,88332,0.515,181966,0.515
101039_0,95380,86885,0.523,182265,0.523
101039_1,98111,84782,0.536,182893,0.536
101039_2,94456,88191,0.517,182647,0.517
101039_3,92713,89324,0.509,182037,0.509
101039_4,95421,87173,0.523,182594,0.523
101039_5,91636,90367,0.503,182003,0.503
101039_6,91895,91077,0.502,182972,0.502
