"account_id","create_time","分析对象","阶段总和","2021-03-01","2021-03-02","2021-03-03","2021-03-04","2021-03-05","2021-03-06","2021-03-07","2021-03-08","2021-03-09","2021-03-10","2021-03-11","2021-03-12","2021-03-13","2021-03-14","2021-03-15","2021-03-16","2021-03-17","2021-03-18","2021-03-19","2021-03-20","2021-03-21","2021-03-22","2021-03-23","2021-03-24","2021-03-25","2021-03-26","2021-03-27","2021-03-28","2021-03-29","2021-03-30","2021-03-31","2021-04-01","2021-04-02","2021-04-03","2021-04-04","2021-04-05","2021-04-06","2021-04-07","2021-04-08","2021-04-09","2021-04-10","2021-04-11","2021-04-12","2021-04-13","2021-04-14","2021-04-15","2021-04-16","2021-04-17","2021-04-18","2021-04-19","2021-04-20","2021-04-21","2021-04-22","2021-04-23","2021-04-24","2021-04-25","2021-04-26","2021-04-27","2021-04-28","2021-04-29","2021-04-30","2021-05-01","2021-05-02","2021-05-03","2021-05-04","2021-05-05","2021-05-06","2021-05-07","2021-05-08","2021-05-09","2021-05-10","2021-05-11","2021-05-12","2021-05-13","2021-05-14","2021-05-15","2021-05-16","2021-05-17","2021-05-18","2021-05-19","2021-05-20"
"670369349757428","2021-03-09","s_stage.总次数","894","0","0","0","0","0","0","0","0","5","0","27","17","0","0","44","145","123","3","9","0","136","13","67","0","27","37","31","0","5","80","0","16","0","11","9","5","0","0","0","0","0","0","42","0","5","0","13","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"637306213169881","2021-03-28","s_stage.总次数","1108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","167","128","133","47","60","12","61","75","12","12","0","40","0","0","60","0","0","0","16","0","80","0","0","0","8","12","0","0","0","0","4","1","15","24","0","0","28","0","0","0","0","0","0","0","32","36","0","0","0","0","4","0","0"
"681922924969650","2021-03-26","s_stage.总次数","937","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","94","130","19","0","1","200","21","4","26","2","83","12","0","177","0","56","1","19","79","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"663147657214961","2021-03-23","s_stage.总次数","963","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","86","27","36","16","4","16","21","60","60","23","97","1","1","58","1","1","1","118","1","1","57","100","67","13","23","1","3","20","0","0","0","0","0","0","8","0","0","0","4","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0"
"677187732559081","2021-03-24","s_stage.总次数","864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","1","31","43","75","0","84","76","28","60","40","120","0","67","129","0","1","0","4","60","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"607442245112987","2021-04-07","s_stage.总次数","952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","130","40","0","20","0","0","0","20","1","75","225","7","32","8","0","13","99","48","52","0","0","0","60","12","0","16","0","16","24","12","0","0","0","0","0","0","16","8","0","0","0","0","0"
"603017536987631","2021-03-24","s_stage.总次数","629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","14","31","11","67","57","0","20","20","52","48","8","13","12","0","8","81","27","40","4","4","0","0","8","0","4","0","8","20","0","0","5","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"665997086713325","2021-03-12","s_stage.总次数","1344","0","0","0","0","0","0","0","0","0","0","0","1","0","0","179","44","108","276","68","112","28","32","28","20","12","80","48","0","0","0","8","40","0","0","24","0","8","20","20","12","0","0","16","4","20","8","0","52","0","0","0","0","0","16","24","0","0","0","0","0","0","20","0","0","0","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0"
"604572855677575","2021-04-06","s_stage.总次数","916","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","3","20","24","0","0","4","18","31","27","11","321","99","80","20","36","4","0","0","0","16","16","24","24","28","0","4","0","0","0","28","0","16","24","0","0","0","8","0","0","0","0","20","0","0"
"610036660777390","2021-03-24","s_stage.总次数","1244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","113","119","24","116","56","76","40","0","68","12","48","0","8","4","16","24","0","80","40","0","96","0","0","0","0","24","40","20","8","0","0","0","0","28","20","0","0","0","0","20","0","0","0","0","0","0","4","8","12","28","12","28","20","0","28","0","0"
"653062476283100","2021-04-11","s_stage.总次数","689","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","37","21","0","0","0","3","0","0","0","48","6","0","1","0","1","1","1","26","1","0","1","0","3","382","29","39","64","4","0","4","1","1","10","1","0","0","0","0"
"639411901047497","2021-03-28","s_stage.总次数","1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","223","96","84","152","48","180","12","40","16","44","36","12","12","36","24","0","0","8","0","0","8","24","16","0","0","0","4","20","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","21","15","4","0"
"648900092232098","2021-04-02","s_stage.总次数","1176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","272","128","156","168","24","0","60","8","48","80","0","4","0","8","0","8","20","44","8","0","0","0","0","0","0","0","0","0","8","0","0","20","0","4","0","0","0","0","40","16","4","28","0","0","8","12","0","0","0"
"698900337502553","2021-03-14","s_stage.总次数","824","0","0","0","0","0","0","0","0","0","0","0","0","0","84","104","152","108","120","56","40","24","100","0","8","12","0","0","0","12","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"630517017733148","2021-03-15","s_stage.总次数","1028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","184","20","176","152","28","84","16","0","20","44","0","0","36","4","0","20","0","20","20","0","16","0","0","0","0","12","8","0","4","20","16","0","0","4","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","8","4","0","8","8","0","44","0","0","0","0","0","0"
"614100494087512","2021-03-06","s_stage.总次数","1077","0","0","0","0","0","196","33","35","1","4","4","16","4","1","7","4","48","176","8","4","12","8","4","16","8","4","12","5","47","8","12","12","8","51","29","4","16","8","4","7","0","0","13","24","15","20","5","4","8","12","8","4","15","0","0","17","3","4","1","4","3","1","4","8","4","4","4","4","3","0","0","1","8","4","4","4","7","9","24","8","0"
"682932146317363","2021-03-07","s_stage.总次数","1248","0","0","0","0","0","0","86","58","40","4","24","116","104","108","60","8","0","60","0","20","60","60","8","32","0","0","28","0","0","12","56","0","0","24","0","0","36","0","0","0","0","0","32","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","36","4","0","0","0","0","0","0","0","40","0","0","80","0","0","0","0","0","0","0","0"
"646035986955367","2021-03-22","s_stage.总次数","1201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","187","232","40","0","0","0","20","8","174","20","45","0","0","0","0","2","89","38","0","0","15","15","1","0","21","0","0","0","17","0","40","1","0","0","0","0","1","0","31","0","0","0","0","0","3","0","12","0","0","1","7","11","9","0","0","0","83","18","11"
"637409560120333","2021-03-17","s_stage.总次数","449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","57","41","28","47","37","27","57","0","31","0","0","3","0","0","0","6","0","1","18","1","1","1","1","16","1","1","1","1","1","1","1","0","2","0","1","0","1","1","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"621513246204546","2021-04-07","s_stage.总次数","1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","157","129","23","116","64","28","0","132","16","4","120","36","20","100","0","40","24","8","8","20","0","0","4","16","0","4","0","0","0","0","0","0","0","0","20","36","12","40","0","0","0","12","0"
