hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
103001_0,163205,147608,0.525,310813,0.525
103001_1,164752,145941,0.53,310693,0.53
103001_2,162143,148312,0.522,310455,0.522
103001_3,158393,151987,0.51,310380,0.51
103001_4,159423,150871,0.514,310294,0.514
103001_5,157153,152194,0.508,309347,0.508
103001_6,158088,150643,0.512,308731,0.512
103001_7,160105,150373,0.516,310478,0.516
103001_8,158112,151338,0.511,309450,0.511
103002_0,162625,147560,0.524,310185,0.524
103002_1,158700,150155,0.514,308855,0.514
103002_2,161976,148497,0.522,310473,0.522
103002_3,161012,149227,0.519,310239,0.519
103002_4,157727,152200,0.509,309927,0.509
103002_5,159215,150075,0.515,309290,0.515
103002_6,160771,148929,0.519,309700,0.519
103002_7,158039,151113,0.511,309152,0.511
103002_8,160190,149548,0.517,309738,0.517
103008_0,129219,180286,0.418,309505,0.418
103008_1,128773,181454,0.415,310227,0.415
103008_2,134233,175846,0.433,310079,0.433
103008_3,138457,172040,0.446,310497,0.446
103008_4,135844,175220,0.437,311064,0.437
103008_5,140763,168776,0.455,309539,0.455
103008_6,143058,167274,0.461,310332,0.461
103008_7,138635,170914,0.448,309549,0.448
103008_8,144743,165653,0.466,310396,0.466
103010_0,167822,142331,0.541,310153,0.541
103010_1,166168,143956,0.536,310124,0.536
103010_2,165555,144617,0.534,310172,0.534
103010_3,166605,143026,0.538,309631,0.538
103010_4,162783,147453,0.525,310236,0.525
103010_5,163595,146299,0.528,309894,0.528
103010_6,163348,146426,0.527,309774,0.527
103010_7,161680,149164,0.52,310844,0.52
103010_8,161619,148861,0.521,310480,0.521
103011_0,130200,179979,0.42,310179,0.42
103011_1,130272,180251,0.42,310523,0.42
103011_2,132916,177815,0.428,310731,0.428
103011_3,134020,175179,0.433,309199,0.433
103011_4,133491,176789,0.43,310280,0.43
103011_5,138146,172507,0.445,310653,0.445
103011_6,139152,171018,0.449,310170,0.449
103011_7,138631,170757,0.448,309388,0.448
103011_8,144049,165699,0.465,309748,0.465
103012_0,166062,143854,0.536,309916,0.536
103012_1,161483,147492,0.523,308975,0.523
103012_2,161738,147292,0.523,309030,0.523
103012_3,161538,148181,0.522,309719,0.522
103012_4,158889,151183,0.512,310072,0.512
103012_5,158002,151439,0.511,309441,0.511
103012_6,158918,150783,0.513,309701,0.513
103012_7,156291,153217,0.505,309508,0.505
103012_8,156824,152199,0.507,309023,0.507
103013_0,171802,137294,0.556,309096,0.556
103013_1,170785,138423,0.552,309208,0.552
103013_2,175842,134446,0.567,310288,0.567
103013_3,168618,141383,0.544,310001,0.544
103013_4,167108,142873,0.539,309981,0.539
103013_5,173357,137078,0.558,310435,0.558
103013_6,168553,140842,0.545,309395,0.545
103013_7,167159,142516,0.54,309675,0.54
103013_8,173248,136309,0.56,309557,0.56
103018_0,153374,156763,0.495,310137,0.495
103018_1,152579,157022,0.493,309601,0.493
103018_2,152918,158317,0.491,311235,0.491
103018_3,148639,160935,0.48,309574,0.48
103018_4,146563,163074,0.473,309637,0.473
103018_5,147685,161533,0.478,309218,0.478
103018_6,150206,160534,0.483,310740,0.483
103018_7,147719,162255,0.477,309974,0.477
103018_8,148851,161007,0.48,309858,0.48
103019_0,121068,188788,0.391,309856,0.391
103019_1,122540,187268,0.396,309808,0.396
103019_2,121179,188140,0.392,309319,0.392
103019_3,119872,189840,0.387,309712,0.387
103019_4,121789,190140,0.39,311929,0.39
103019_5,120600,189236,0.389,309836,0.389
103019_6,120176,189722,0.388,309898,0.388
103019_7,120998,188136,0.391,309134,0.391
103019_8,120703,189915,0.389,310618,0.389
103020_0,144967,166371,0.466,311338,0.466
103020_1,144475,165581,0.466,310056,0.466
103020_2,147664,161321,0.478,308985,0.478
103020_3,144680,165173,0.467,309853,0.467
103020_4,143782,165956,0.464,309738,0.464
103020_5,148446,161713,0.479,310159,0.479
103020_6,145392,164415,0.469,309807,0.469
103020_7,144768,164682,0.468,309450,0.468
103020_8,149468,160609,0.482,310077,0.482
103021_0,145275,164735,0.469,310010,0.469
103021_1,143828,165984,0.464,309812,0.464
103021_2,146973,162779,0.474,309752,0.474
103021_3,149585,160408,0.483,309993,0.483
103021_4,147281,161941,0.476,309222,0.476
103021_5,152108,158367,0.49,310475,0.49
103021_6,153976,156106,0.497,310082,0.497
103021_7,151427,157771,0.49,309198,0.49
103021_8,155045,154930,0.5,309975,0.5
103023_0,122205,187339,0.395,309544,0.395
103023_1,124080,186224,0.4,310304,0.4
103023_2,122959,185928,0.398,308887,0.398
103023_3,123371,186939,0.398,310310,0.398
103023_4,124206,186119,0.4,310325,0.4
103023_5,125152,184760,0.404,309912,0.404
103023_6,127616,181211,0.413,308827,0.413
103023_7,128593,181568,0.415,310161,0.415
