hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
110001_0,80216,80006,0.501,160222,0.501
110001_1,79824,80591,0.498,160415,0.498
110001_2,78765,80629,0.494,159394,0.494
110001_3,78027,82491,0.486,160518,0.486
110001_4,76515,83386,0.479,159901,0.479
110001_5,76503,83197,0.479,159700,0.479
110001_6,76958,83362,0.48,160320,0.48
110001_7,76272,83766,0.477,160038,0.477
110001_8,76348,84242,0.475,160590,0.475
110002_0,101138,59025,0.631,160163,0.631
110002_1,100976,59185,0.63,160161,0.63
110002_2,101334,58652,0.633,159986,0.633
110002_3,99656,60076,0.624,159732,0.624
110002_4,98711,61110,0.618,159821,0.618
110002_5,99339,60862,0.62,160201,0.62
110002_6,101534,58855,0.633,160389,0.633
110002_7,100517,59233,0.629,159750,0.629
110002_8,101287,58550,0.634,159837,0.634
110008_0,67746,92475,0.423,160221,0.423
110008_1,66996,93062,0.419,160058,0.419
110008_2,70561,89919,0.44,160480,0.44
110008_3,72476,87358,0.453,159834,0.453
110008_4,70705,89289,0.442,159994,0.442
110008_5,73215,87104,0.457,160319,0.457
110008_6,72865,86818,0.456,159683,0.456
110008_7,71392,88679,0.446,160071,0.446
110008_8,73902,86895,0.46,160797,0.46
110010_0,71724,87702,0.45,159426,0.45
110010_1,70537,89759,0.44,160296,0.44
110010_2,71232,89263,0.444,160495,0.444
110010_3,71218,89082,0.444,160300,0.444
110010_4,69961,90215,0.437,160176,0.437
110010_5,71015,89102,0.444,160117,0.444
110010_6,70763,89678,0.441,160441,0.441
110010_7,70673,89684,0.441,160357,0.441
110010_8,70912,88773,0.444,159685,0.444
110011_0,70462,90938,0.437,161400,0.437
110011_1,69548,90874,0.434,160422,0.434
110011_2,69719,89934,0.437,159653,0.437
110011_3,70689,88999,0.443,159688,0.443
110011_4,70823,89000,0.443,159823,0.443
110011_5,72550,88044,0.452,160594,0.452
110011_6,72599,87200,0.454,159799,0.454
110011_7,73032,86752,0.457,159784,0.457
110011_8,73883,85565,0.463,159448,0.463
110012_0,94505,65711,0.59,160216,0.59
110012_1,93239,67133,0.581,160372,0.581
110012_2,93687,66302,0.586,159989,0.586
110012_3,93270,67424,0.58,160694,0.58
110012_4,91107,69550,0.567,160657,0.567
110012_5,91347,68665,0.571,160012,0.571
110012_6,92371,67256,0.579,159627,0.579
110012_7,91517,69097,0.57,160614,0.57
110012_8,91972,68443,0.573,160415,0.573
110013_0,88390,72310,0.55,160700,0.55
110013_1,87082,72971,0.544,160053,0.544
110013_2,87462,72527,0.547,159989,0.547
110013_3,83276,76609,0.521,159885,0.521
110013_4,83325,76904,0.52,160229,0.52
110013_5,84625,75373,0.529,159998,0.529
110013_6,84014,75961,0.525,159975,0.525
110013_7,83632,76184,0.523,159816,0.523
110013_8,85033,75676,0.529,160709,0.529
110018_0,68973,91108,0.431,160081,0.431
110018_1,68594,91777,0.428,160371,0.428
110018_2,68699,91409,0.429,160108,0.429
110018_3,66987,92714,0.419,159701,0.419
110018_4,66775,93021,0.418,159796,0.418
110018_5,67422,92916,0.42,160338,0.42
110018_6,68682,91590,0.429,160272,0.429
110018_7,67795,91750,0.425,159545,0.425
110018_8,68857,91023,0.431,159880,0.431
110019_0,62596,97459,0.391,160055,0.391
110019_1,64537,95974,0.402,160511,0.402
110019_2,65187,94621,0.408,159808,0.408
110019_3,65107,94456,0.408,159563,0.408
110019_4,65971,94333,0.412,160304,0.412
110019_5,66020,94243,0.412,160263,0.412
110019_6,65517,94656,0.409,160173,0.409
110019_7,65364,94535,0.409,159899,0.409
110019_8,65891,94350,0.411,160241,0.411
110020_0,81399,78067,0.51,159466,0.51
110020_1,80409,79712,0.502,160121,0.502
110020_2,82623,77752,0.515,160375,0.515
110020_3,79955,80071,0.5,160026,0.5
110020_4,78081,81698,0.489,159779,0.489
110020_5,81820,78369,0.511,160189,0.511
110020_6,79850,80884,0.497,160734,0.497
110020_7,78707,81638,0.491,160345,0.491
110020_8,81639,78518,0.51,160157,0.51
110021_0,68569,91347,0.429,159916,0.429
110021_1,67037,92557,0.42,159594,0.42
110021_2,68083,91659,0.426,159742,0.426
110021_3,68713,91666,0.428,160379,0.428
110021_4,67502,93193,0.42,160695,0.42
110021_5,69240,90980,0.432,160220,0.432
110021_6,69384,90125,0.435,159509,0.435
110021_7,69227,91481,0.431,160708,0.431
110021_8,70416,89639,0.44,160055,0.44
110023_0,58950,101188,0.368,160138,0.368
110023_1,60831,99376,0.38,160207,0.38
110023_2,60681,99325,0.379,160006,0.379
110023_3,59818,99913,0.374,159731,0.374
110023_4,61257,99195,0.382,160452,0.382
110023_5,61805,98598,0.385,160403,0.385
110023_6,62869,97640,0.392,160509,0.392
110023_7,63512,96753,0.396,160265,0.396
110023_8,64297,96217,0.401,160514,0.401
110024_0,66119,93248,0.415,159367,0.415
110024_1,67715,93376,0.42,161091,0.42
110024_2,67342,91982,0.423,159324,0.423
110024_3,66508,94555,0.413,161063,0.413
110024_4,67287,93273,0.419,160560,0.419
110024_5,68089,92102,0.425,160191,0.425
110024_6,68396,92366,0.425,160762,0.425
110024_7,68171,90809,0.429,158980,0.429
110024_8,69853,90070,0.437,159923,0.437
110025_0,86099,73761,0.539,159860,0.539
110025_1,85124,74796,0.532,159920,0.532
110025_2,88980,71273,0.555,160253,0.555
110025_3,89554,71106,0.557,160660,0.557
110025_4,86859,73015,0.543,159874,0.543
110025_5,89774,70514,0.56,160288,0.56
110025_6,88388,71375,0.553,159763,0.553
110025_7,86204,74157,0.538,160361,0.538
110025_8,88808,71350,0.555,160158,0.555
110026_0,85429,74088,0.536,159517,0.536
110026_1,85356,75246,0.531,160602,0.531
110026_2,85582,74369,0.535,159951,0.535
110026_3,84418,75245,0.529,159663,0.529
110026_4,84699,75888,0.527,160587,0.527
110026_5,84949,75596,0.529,160545,0.529
110026_6,85384,74861,0.533,160245,0.533
110026_7,84462,75234,0.529,159696,0.529
110026_8,84725,75367,0.529,160092,0.529
110027_0,69093,91471,0.43,160564,0.43
110027_1,70574,88926,0.442,159500,0.442
110027_2,70668,89004,0.443,159672,0.443
110027_3,69721,89911,0.437,159632,0.437
110027_4,71973,89183,0.447,161156,0.447
110027_5,71813,88892,0.447,160705,0.447
110027_6,72510,87687,0.453,160197,0.453
110027_7,73860,86203,0.461,160063,0.461
110027_8,74288,86278,0.463,160566,0.463
110031_0,68877,91392,0.43,160269,0.43
110031_1,69698,90514,0.435,160212,0.435
110031_2,68245,92063,0.426,160308,0.426
110031_3,66619,93743,0.415,160362,0.415
110031_4,67379,92667,0.421,160046,0.421
110031_5,66646,93425,0.416,160071,0.416
110031_6,67305,92276,0.422,159581,0.422
110031_7,69083,91717,0.43,160800,0.43
110031_8,68685,91224,0.43,159909,0.43
110032_0,67005,92146,0.421,159151,0.421
110032_1,68663,90896,0.43,159559,0.43
110032_2,66448,93268,0.416,159716,0.416
110032_3,64680,95342,0.404,160022,0.404
110032_4,65959,94211,0.412,160170,0.412
110032_5,64630,94741,0.406,159371,0.406
110032_6,64986,94754,0.407,159740,0.407
110032_7,66385,93644,0.415,160029,0.415
110032_8,66031,94257,0.412,160288,0.412
110033_0,98101,62302,0.612,160403,0.612
110033_1,92649,67347,0.579,159996,0.579
110033_2,97405,62535,0.609,159940,0.609
110033_3,97814,61845,0.613,159659,0.613
110033_4,93655,66553,0.585,160208,0.585
110033_5,98678,61433,0.616,160111,0.616
110033_6,97771,62471,0.61,160242,0.61
110033_7,94101,66261,0.587,160362,0.587
110033_8,99286,61128,0.619,160414,0.619
110034_0,63345,97218,0.395,160563,0.395
110034_1,63099,97147,0.394,160246,0.394
110034_2,65240,94650,0.408,159890,0.408
110034_3,66799,93713,0.416,160512,0.416
110034_4,65617,94600,0.41,160217,0.41
110034_5,68255,91884,0.426,160139,0.426
110034_6,68857,90811,0.431,159668,0.431
110034_7,68181,92091,0.425,160272,0.425
110034_8,71038,89448,0.443,160486,0.443
110035_0,60378,99416,0.378,159794,0.378
110035_1,60797,99193,0.38,159990,0.38
110035_2,62451,97585,0.39,160036,0.39
110035_3,63158,97632,0.393,160790,0.393
110035_4,62623,97158,0.392,159781,0.392
110035_5,64914,94921,0.406,159835,0.406
110035_6,66179,93733,0.414,159912,0.414
110035_7,65422,94812,0.408,160234,0.408
110035_8,66264,94002,0.413,160266,0.413
110036_0,64005,96265,0.399,160270,0.399
110036_1,63882,96635,0.398,160517,0.398
110036_2,64764,95160,0.405,159924,0.405
110036_3,65256,95446,0.406,160702,0.406
110036_4,64349,95280,0.403,159629,0.403
110036_5,66644,93623,0.416,160267,0.416
110036_6,67211,92701,0.42,159912,0.42
110036_7,67008,93136,0.418,160144,0.418
110036_8,68735,91124,0.43,159859,0.43
110038_0,82009,78596,0.511,160605,0.511
110038_1,80972,78948,0.506,159920,0.506
110038_2,82971,77009,0.519,159980,0.519
110038_3,84089,76213,0.525,160302,0.525
110038_4,82484,77152,0.517,159636,0.517
110038_5,84301,75647,0.527,159948,0.527
110038_6,84044,75875,0.526,159919,0.526
110038_7,83051,77330,0.518,160381,0.518
110038_8,83748,75778,0.525,159526,0.525
110039_0,96701,63116,0.605,159817,0.605
110039_1,107067,52960,0.669,160027,0.669
110039_2,91404,68573,0.571,159977,0.571
110039_3,87912,71987,0.55,159899,0.55
110039_4,97149,63127,0.606,160276,0.606
110039_5,84252,76300,0.525,160552,0.525
110039_6,84839,74926,0.531,159765,0.531
110039_7,93398,66475,0.584,159873,0.584
110039_8,81016,78696,0.507,159712,0.507
110040_0,85989,74133,0.537,160122,0.537
110040_1,84479,75847,0.527,160326,0.527
