hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
113001_0,78966,78708,0.501,157674,0.501
113001_1,78531,79151,0.498,157682,0.498
113001_2,77613,79323,0.495,156936,0.495
113001_3,76016,81125,0.484,157141,0.484
113001_4,75584,81661,0.481,157245,0.481
113001_5,76015,81693,0.482,157708,0.482
113001_6,75652,81988,0.48,157640,0.48
113001_7,75398,82227,0.478,157625,0.478
113001_8,75089,82479,0.477,157568,0.477
113002_0,98759,58971,0.626,157730,0.626
113002_1,98695,58293,0.629,156988,0.629
113002_2,99352,57915,0.632,157267,0.632
113002_3,97635,59853,0.62,157488,0.62
113002_4,97700,60482,0.618,158182,0.618
113002_5,97148,60184,0.617,157332,0.617
113002_6,98872,58220,0.629,157092,0.629
113002_7,98628,58731,0.627,157359,0.627
113002_8,98973,58487,0.629,157460,0.629
113008_0,66962,90372,0.426,157334,0.426
113008_1,67029,90506,0.425,157535,0.425
113008_2,69368,87645,0.442,157013,0.442
113008_3,71599,86063,0.454,157662,0.454
113008_4,70107,87592,0.445,157699,0.445
113008_5,71877,85041,0.458,156918,0.458
113008_6,72138,84671,0.46,156809,0.46
113008_7,70639,87013,0.448,157652,0.448
113008_8,72473,84239,0.462,156712,0.462
113010_0,70586,86872,0.448,157458,0.448
113010_1,69102,88569,0.438,157671,0.438
113010_2,69327,87797,0.441,157124,0.441
113010_3,69965,87784,0.444,157749,0.444
113010_4,68805,88598,0.437,157403,0.437
113010_5,69368,87977,0.441,157345,0.441
113010_6,69192,88268,0.439,157460,0.439
113010_7,68413,88613,0.436,157026,0.436
113010_8,69356,87274,0.443,156630,0.443
113011_0,68172,88903,0.434,157075,0.434
113011_1,68527,88914,0.435,157441,0.435
113011_2,69273,88016,0.44,157289,0.44
113011_3,69045,87406,0.441,156451,0.441
113011_4,69910,87597,0.444,157507,0.444
113011_5,70771,86264,0.451,157035,0.451
113011_6,71626,85916,0.455,157542,0.455
113011_7,71600,85252,0.456,156852,0.456
113011_8,72755,84714,0.462,157469,0.462
113012_0,92918,64118,0.592,157036,0.592
113012_1,90805,66460,0.577,157265,0.577
113012_2,91883,65505,0.584,157388,0.584
113012_3,91045,66538,0.578,157583,0.578
113012_4,89122,67994,0.567,157116,0.567
113012_5,89655,67318,0.571,156973,0.571
113012_6,90783,66646,0.577,157429,0.577
113012_7,89598,68162,0.568,157760,0.568
113012_8,90001,66972,0.573,156973,0.573
113013_0,86445,71213,0.548,157658,0.548
113013_1,85566,72193,0.542,157759,0.542
113013_2,86067,71640,0.546,157707,0.546
113013_3,82300,75516,0.521,157816,0.521
113013_4,82294,75408,0.522,157702,0.522
113013_5,82899,74784,0.526,157683,0.526
113013_6,82151,74857,0.523,157008,0.523
113013_7,81756,75464,0.52,157220,0.52
113013_8,83292,74671,0.527,157963,0.527
113018_0,67932,88715,0.434,156647,0.434
113018_1,67709,89853,0.43,157562,0.43
113018_2,67361,89554,0.429,156915,0.429
113018_3,65966,91181,0.42,157147,0.42
113018_4,65604,91168,0.418,156772,0.418
113018_5,66911,90462,0.425,157373,0.425
113018_6,67511,90092,0.428,157603,0.428
113018_7,67276,90342,0.427,157618,0.427
113018_8,67661,89221,0.431,156882,0.431
113019_0,62127,95429,0.394,157556,0.394
113019_1,63315,93885,0.403,157200,0.403
113019_2,64543,92794,0.41,157337,0.41
113019_3,64124,93014,0.408,157138,0.408
113019_4,64286,92813,0.409,157099,0.409
113019_5,64683,92540,0.411,157223,0.411
113019_6,64624,92918,0.41,157542,0.41
113019_7,64546,92393,0.411,156939,0.411
113019_8,64868,92304,0.413,157172,0.413
113020_0,81347,75676,0.518,157023,0.518
113020_1,79469,77285,0.507,156754,0.507
113020_2,82443,74827,0.524,157270,0.524
113020_3,79369,78119,0.504,157488,0.504
113020_4,78201,79035,0.497,157236,0.497
113020_5,81389,76077,0.517,157466,0.517
113020_6,79326,78062,0.504,157388,0.504
113020_7,77864,79253,0.496,157117,0.496
113020_8,80960,76369,0.515,157329,0.515
113021_0,67622,89528,0.43,157150,0.43
113021_1,65918,90907,0.42,156825,0.42
113021_2,67240,91039,0.425,158279,0.425
113021_3,67089,90342,0.426,157431,0.426
113021_4,66080,90291,0.423,156371,0.423
113021_5,68058,89337,0.432,157395,0.432
113021_6,68614,88263,0.437,156877,0.437
113021_7,67855,90023,0.43,157878,0.43
113021_8,69209,88425,0.439,157634,0.439
113023_0,57279,99758,0.365,157037,0.365
113023_1,58793,98205,0.374,156998,0.374
113023_2,59276,97552,0.378,156828,0.378
113023_3,58060,99092,0.369,157152,0.369
113023_4,59886,97652,0.38,157538,0.38
113023_5,59987,97367,0.381,157354,0.381
113023_6,61360,96277,0.389,157637,0.389
113023_7,61645,95624,0.392,157269,0.392
113023_8,62459,95060,0.397,157519,0.397
113024_0,65726,91848,0.417,157574,0.417
113024_1,65731,91016,0.419,156747,0.419
113024_2,66453,90899,0.422,157352,0.422
113024_3,65111,92656,0.413,157767,0.413
113024_4,65758,91846,0.417,157604,0.417
113024_5,66744,90648,0.424,157392,0.424
113024_6,67150,90063,0.427,157213,0.427
113024_7,67850,89563,0.431,157413,0.431
113024_8,68712,88947,0.436,157659,0.436
113025_0,85888,71476,0.546,157364,0.546
113025_1,84964,73117,0.537,158081,0.537
113025_2,88329,69321,0.56,157650,0.56
113025_3,88851,68399,0.565,157250,0.565
113025_4,86381,71142,0.548,157523,0.548
113025_5,89134,68412,0.566,157546,0.566
113025_6,87346,69218,0.558,156564,0.558
113025_7,85095,71768,0.542,156863,0.542
113025_8,88658,69002,0.562,157660,0.562
113026_0,84129,73388,0.534,157517,0.534
113026_1,82850,73630,0.529,156480,0.529
113026_2,84166,73489,0.534,157655,0.534
113026_3,83631,73958,0.531,157589,0.531
113026_4,83195,73869,0.53,157064,0.53
113026_5,84134,73927,0.532,158061,0.532
113026_6,83834,74231,0.53,158065,0.53
113026_7,83036,74102,0.528,157138,0.528
113026_8,83543,74065,0.53,157608,0.53
113027_0,67370,89873,0.428,157243,0.428
113027_1,68184,89063,0.434,157247,0.434
113027_2,68811,88422,0.438,157233,0.438
113027_3,67726,89341,0.431,157067,0.431
113027_4,69625,87898,0.442,157523,0.442
