pos,10102060, 10202060, 10302060, 10402060, 10502060, 10602060, 10702060, 10802060, 10902060, 11002060, 11102060, 11202060
0,0.429,0.442,0.637,0.656,0.439,0.651,0.429,0.443,0.434,0.437,0.401,0.561
1,0.435,0.448,0.626,0.646,0.447,0.642,0.429,0.45,0.448,0.449,0.423,0.561
2,0.446,0.453,0.612,0.644,0.449,0.628,0.43,0.455,0.441,0.454,0.4,0.549
3,0.444,0.443,0.626,0.657,0.46,0.627,0.46,0.473,0.428,0.439,0.385,0.538
4,0.451,0.454,0.614,0.642,0.462,0.611,0.455,0.472,0.448,0.454,0.417,0.54
5,0.464,0.46,0.602,0.643,0.471,0.599,0.464,0.494,0.438,0.456,0.384,0.521
6,0.472,0.463,0.596,0.635,0.474,0.577,0.49,0.489,0.445,0.459,0.388,0.517
7,0.475,0.472,0.587,0.612,0.47,0.557,0.484,0.477,0.465,0.47,0.422,0.521
8,0.496,0.485,0.576,0.621,0.488,0.548,0.501,0.511,0.46,0.476,0.393,0.505
