pos,10103060, 10203060, 10303060, 10403060, 10503060, 10603060, 10703060, 10803060, 10903060, 11003060, 11103060, 11203060
0,0.43,0.441,0.637,0.655,0.44,0.65,0.43,0.443,0.434,0.437,0.401,0.56
1,0.436,0.449,0.626,0.646,0.447,0.642,0.429,0.451,0.449,0.448,0.423,0.561
2,0.444,0.454,0.613,0.643,0.45,0.628,0.43,0.455,0.442,0.454,0.4,0.548
3,0.444,0.445,0.626,0.657,0.459,0.627,0.459,0.474,0.428,0.441,0.386,0.537
4,0.451,0.455,0.613,0.642,0.461,0.611,0.457,0.472,0.449,0.454,0.416,0.539
5,0.463,0.462,0.6,0.642,0.472,0.598,0.464,0.494,0.438,0.456,0.385,0.521
6,0.473,0.462,0.597,0.636,0.474,0.576,0.49,0.489,0.445,0.456,0.388,0.516
7,0.475,0.471,0.586,0.613,0.47,0.559,0.485,0.477,0.465,0.471,0.421,0.522
8,0.497,0.485,0.575,0.619,0.489,0.546,0.503,0.511,0.46,0.476,0.392,0.506
