pos,10105060, 10205060, 10305060, 10405060, 10505060, 10605060, 10705060, 10805060, 10905060, 11005060, 11105060, 11205060
0,0.429,0.441,0.638,0.655,0.441,0.65,0.43,0.442,0.433,0.437,0.401,0.56
1,0.434,0.45,0.625,0.647,0.447,0.642,0.429,0.45,0.448,0.448,0.423,0.561
2,0.444,0.454,0.613,0.643,0.45,0.628,0.431,0.455,0.441,0.454,0.4,0.548
3,0.445,0.444,0.626,0.656,0.46,0.628,0.459,0.474,0.429,0.44,0.386,0.538
4,0.45,0.454,0.613,0.643,0.461,0.611,0.457,0.472,0.448,0.455,0.416,0.54
5,0.464,0.462,0.602,0.643,0.471,0.598,0.463,0.494,0.439,0.457,0.384,0.52
6,0.473,0.463,0.596,0.635,0.472,0.577,0.491,0.489,0.446,0.457,0.387,0.516
7,0.476,0.471,0.586,0.612,0.471,0.558,0.485,0.475,0.465,0.47,0.422,0.522
8,0.496,0.485,0.576,0.62,0.489,0.547,0.502,0.511,0.461,0.476,0.39,0.507
