pos,10101120, 10201120, 10301120, 10401120, 10501120, 10601120, 10701120, 10801120, 10901120, 11001120, 11101120, 11201120
0,0.424,0.438,0.642,0.659,0.438,0.656,0.438,0.441,0.432,0.433,0.402,0.561
1,0.431,0.443,0.631,0.648,0.446,0.648,0.436,0.449,0.447,0.443,0.422,0.56
2,0.441,0.45,0.614,0.644,0.45,0.631,0.438,0.454,0.441,0.452,0.401,0.546
3,0.44,0.445,0.625,0.656,0.457,0.628,0.468,0.475,0.429,0.436,0.388,0.537
4,0.448,0.454,0.612,0.64,0.461,0.612,0.464,0.471,0.449,0.451,0.419,0.537
5,0.463,0.462,0.597,0.638,0.47,0.596,0.472,0.494,0.441,0.456,0.388,0.518
6,0.471,0.464,0.59,0.629,0.472,0.571,0.5,0.49,0.448,0.458,0.393,0.515
7,0.475,0.473,0.578,0.606,0.47,0.552,0.493,0.478,0.467,0.472,0.428,0.517
8,0.497,0.486,0.567,0.613,0.489,0.542,0.513,0.511,0.465,0.478,0.397,0.503
