hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
10104060_0,279207,370164,0.43,649371,0.43
10104060_1,281971,366840,0.435,648811,0.435
10104060_2,289129,359475,0.446,648604,0.446
10104060_3,287286,361197,0.443,648483,0.443
10104060_4,291991,356201,0.45,648192,0.45
10104060_5,299756,347147,0.463,646903,0.463
10104060_6,304693,342653,0.471,647346,0.471
10104060_7,309322,340185,0.476,649507,0.476
10104060_8,321456,326485,0.496,647941,0.496
10204060_0,286514,361921,0.442,648435,0.442
10204060_1,290444,357594,0.448,648038,0.448
10204060_2,294437,353813,0.454,648250,0.454
10204060_3,288213,359510,0.445,647723,0.445
10204060_4,293807,354753,0.453,648560,0.453
10204060_5,298954,349277,0.461,648231,0.461
10204060_6,300478,348446,0.463,648924,0.463
10204060_7,305628,342588,0.471,648216,0.471
10204060_8,314013,334429,0.484,648442,0.484
10304060_0,412497,236118,0.636,648615,0.636
10304060_1,405903,242851,0.626,648754,0.626
10304060_2,396367,250819,0.612,647186,0.612
10304060_3,406985,241726,0.627,648711,0.627
10304060_4,397597,249386,0.615,646983,0.615
10304060_5,390138,257827,0.602,647965,0.602
10304060_6,386251,261750,0.596,648001,0.596
10304060_7,380017,268353,0.586,648370,0.586
10304060_8,372797,276046,0.575,648843,0.575
10404060_0,423835,223576,0.655,647411,0.655
10404060_1,418723,229743,0.646,648466,0.646
10404060_2,416676,231534,0.643,648210,0.643
10404060_3,425735,221889,0.657,647624,0.657
10404060_4,415984,232073,0.642,648057,0.642
10404060_5,416647,231120,0.643,647767,0.643
10404060_6,412172,236573,0.635,648745,0.635
10404060_7,397390,252429,0.612,649819,0.612
10404060_8,402309,247338,0.619,649647,0.619
10504060_0,284711,362578,0.44,647289,0.44
10504060_1,289559,358167,0.447,647726,0.447
10504060_2,291753,356607,0.45,648360,0.45
10504060_3,296830,350528,0.459,647358,0.459
10504060_4,299204,349118,0.462,648322,0.462
10504060_5,305546,343719,0.471,649265,0.471
10504060_6,307080,341150,0.474,648230,0.474
10504060_7,304605,342417,0.471,647022,0.471
10504060_8,316984,331270,0.489,648254,0.489
10604060_0,420539,225948,0.65,646487,0.65
10604060_1,416588,231520,0.643,648108,0.643
10604060_2,406856,241588,0.627,648444,0.627
10604060_3,406962,241741,0.627,648703,0.627
10604060_4,396908,252232,0.611,649140,0.611
10604060_5,387632,260542,0.598,648174,0.598
10604060_6,374713,274229,0.577,648942,0.577
10604060_7,361513,286758,0.558,648271,0.558
10604060_8,354860,293474,0.547,648334,0.547
10704060_0,278818,368651,0.431,647469,0.431
10704060_1,278604,370799,0.429,649403,0.429
10704060_2,278872,368348,0.431,647220,0.431
10704060_3,296837,350317,0.459,647154,0.459
10704060_4,296736,352876,0.457,649612,0.457
10704060_5,300136,347356,0.464,647492,0.464
10704060_6,317389,330100,0.49,647489,0.49
10704060_7,314795,334139,0.485,648934,0.485
10704060_8,324340,322886,0.501,647226,0.501
10804060_0,286702,361459,0.442,648161,0.442
10804060_1,290784,355437,0.45,646221,0.45
10804060_2,295135,351922,0.456,647057,0.456
10804060_3,308378,341155,0.475,649533,0.475
10804060_4,305423,343284,0.471,648707,0.471
10804060_5,320083,328031,0.494,648114,0.494
10804060_6,316834,331406,0.489,648240,0.489
10804060_7,308663,338569,0.477,647232,0.477
10804060_8,331308,316914,0.511,648222,0.511
10904060_0,281165,366523,0.434,647688,0.434
10904060_1,290790,356278,0.449,647068,0.449
10904060_2,285331,362566,0.44,647897,0.44
10904060_3,277261,370207,0.428,647468,0.428
10904060_4,290502,358334,0.448,648836,0.448
10904060_5,284586,363072,0.439,647658,0.439
10904060_6,287877,359228,0.445,647105,0.445
10904060_7,302479,346397,0.466,648876,0.466
10904060_8,298389,350598,0.46,648987,0.46
11004060_0,283662,364363,0.438,648025,0.438
11004060_1,290423,358620,0.447,649043,0.447
11004060_2,295303,353319,0.455,648622,0.455
11004060_3,285029,362591,0.44,647620,0.44
11004060_4,294341,352453,0.455,646794,0.455
11004060_5,295691,351105,0.457,646796,0.457
11004060_6,297074,352169,0.458,649243,0.458
11004060_7,304076,343632,0.469,647708,0.469
11004060_8,309383,338601,0.477,647984,0.477
11104060_0,260230,388120,0.401,648350,0.401
11104060_1,273630,374830,0.422,648460,0.422
11104060_2,260067,389023,0.401,649090,0.401
11104060_3,250644,398611,0.386,649255,0.386
11104060_4,268197,377991,0.415,646188,0.415
11104060_5,248915,399194,0.384,648109,0.384
11104060_6,252251,397034,0.389,649285,0.389
11104060_7,272863,374570,0.421,647433,0.421
11104060_8,253747,394350,0.392,648097,0.392
11204060_0,363479,285129,0.56,648608,0.56
11204060_1,363770,284521,0.561,648291,0.561
11204060_2,354849,292673,0.548,647522,0.548
11204060_3,347753,299255,0.537,647008,0.537
11204060_4,349832,298971,0.539,648803,0.539
11204060_5,337433,310541,0.521,647974,0.521
11204060_6,334323,314173,0.516,648496,0.516
11204060_7,337969,309951,0.522,647920,0.522
11204060_8,328684,319943,0.507,648627,0.507
