pos,10105120, 10205120, 10305120, 10405120, 10505120, 10605120, 10705120, 10805120, 10905120, 11005120, 11105120, 11205120
0,0.424,0.437,0.642,0.66,0.438,0.657,0.437,0.441,0.432,0.433,0.402,0.561
1,0.43,0.444,0.631,0.649,0.446,0.65,0.435,0.45,0.446,0.442,0.422,0.56
2,0.441,0.45,0.614,0.645,0.451,0.631,0.437,0.453,0.441,0.452,0.401,0.547
3,0.441,0.445,0.625,0.656,0.457,0.627,0.468,0.475,0.429,0.438,0.389,0.535
4,0.448,0.454,0.612,0.64,0.461,0.612,0.465,0.472,0.449,0.453,0.419,0.537
5,0.462,0.461,0.597,0.638,0.471,0.594,0.471,0.494,0.441,0.456,0.388,0.518
6,0.47,0.465,0.59,0.629,0.472,0.573,0.5,0.49,0.448,0.458,0.393,0.515
7,0.474,0.473,0.579,0.604,0.469,0.551,0.493,0.477,0.467,0.472,0.428,0.518
8,0.496,0.485,0.566,0.613,0.488,0.541,0.513,0.513,0.464,0.479,0.398,0.505
