pos,10104120, 10204120, 10304120, 10404120, 10504120, 10604120, 10704120, 10804120, 10904120, 11004120, 11104120, 11204120
0,0.424,0.436,0.643,0.661,0.438,0.656,0.438,0.44,0.432,0.432,0.401,0.561
1,0.431,0.444,0.629,0.649,0.446,0.648,0.436,0.45,0.447,0.441,0.422,0.56
2,0.44,0.451,0.614,0.645,0.451,0.63,0.437,0.454,0.442,0.451,0.402,0.547
3,0.441,0.445,0.626,0.655,0.457,0.628,0.468,0.474,0.429,0.438,0.388,0.537
4,0.449,0.454,0.611,0.639,0.46,0.611,0.464,0.472,0.449,0.452,0.418,0.538
5,0.463,0.462,0.596,0.639,0.471,0.595,0.472,0.494,0.44,0.456,0.386,0.518
6,0.471,0.463,0.591,0.63,0.472,0.573,0.502,0.49,0.447,0.459,0.395,0.514
7,0.475,0.472,0.578,0.606,0.469,0.551,0.493,0.476,0.468,0.471,0.428,0.519
8,0.496,0.486,0.567,0.612,0.489,0.541,0.513,0.513,0.463,0.478,0.398,0.504
