pos,10101120, 10201120, 10301120, 10401120, 10501120, 10601120, 10701120, 10801120, 10901120, 11001120, 11101120, 11201120
0,2239432,2870715,2498229,2193915,2856807,3637316,2774606,2826945,3489649,2824756,2516505,3205869
1,2319562,2878160,2610776,2238751,2859479,3592494,2748109,2812791,3496734,2861147,2601942,3209222
2,2204231,2902731,2415382,2215492,2905351,3598435,2812035,2881824,3515953,2852158,2507884,3163438
3,2097663,2911539,2256366,2248987,3030902,3692990,2978154,3045243,3362770,2832176,2427012,3186795
4,2198640,2915864,2400081,2296970,3004993,3620389,2928803,2990552,3341268,2869093,2543650,3190302
5,2055465,2960013,2164369,2273359,3080758,3608139,3021045,3134854,3447819,2862391,2402380,3127404
6,2016336,2983047,2081283,2368541,3124519,3593890,3160784,3183656,3268353,2871219,2390654,3134658
7,2117179,2976326,2216248,2412598,3082181,3507984,3089037,3087362,3206421,2903849,2532782,3148914
8,1981996,3036161,2008983,2392036,3180335,3494179,3213002,3289580,3366000,2906255,2364658,3086126
