hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
10103060_0,2218998,3337119,0.399,5556117,0.399
10103060_1,2299297,3264617,0.413,5563914,0.413
10103060_2,2183316,3382506,0.392,5565822,0.392
10103060_3,2075732,3483408,0.373,5559140,0.373
10103060_4,2171262,3388478,0.391,5559740,0.391
10103060_5,2035261,3527812,0.366,5563073,0.366
10103060_6,1992290,3566935,0.358,5559225,0.358
10103060_7,2081433,3474504,0.375,5555937,0.375
10103060_8,1956545,3599663,0.352,5556208,0.352
10203060_0,2793511,2768082,0.502,5561593,0.502
10203060_1,2795810,2764045,0.503,5559855,0.503
10203060_2,2828273,2733453,0.509,5561726,0.509
10203060_3,2845957,2717312,0.512,5563269,0.512
10203060_4,2846251,2714542,0.512,5560793,0.512
10203060_5,2889273,2669259,0.52,5558532,0.52
10203060_6,2918421,2641520,0.525,5559941,0.525
10203060_7,2911704,2647421,0.524,5559125,0.524
10203060_8,2967248,2594665,0.533,5561913,0.533
10303060_0,2487687,3071875,0.447,5559562,0.447
10303060_1,2608619,2952370,0.469,5560989,0.469
10303060_2,2401515,3155920,0.432,5557435,0.432
10303060_3,2237912,3321616,0.403,5559528,0.403
10303060_4,2372761,3186867,0.427,5559628,0.427
10303060_5,2147450,3411581,0.386,5559031,0.386
10303060_6,2052667,3506967,0.369,5559634,0.369
10303060_7,2177729,3385439,0.391,5563168,0.391
10303060_8,1985698,3576921,0.357,5562619,0.357
10403060_0,2128902,3432513,0.383,5561415,0.383
10403060_1,2170749,3390105,0.39,5560854,0.39
10403060_2,2144966,3415381,0.386,5560347,0.386
10403060_3,2178466,3383232,0.392,5561698,0.392
10403060_4,2220986,3338924,0.399,5559910,0.399
10403060_5,2199845,3363161,0.395,5563006,0.395
10403060_6,2286169,3268932,0.412,5555101,0.412
10403060_7,2333080,3230109,0.419,5563189,0.419
10403060_8,2310775,3250493,0.416,5561268,0.416
10503060_0,2762587,2796779,0.497,5559366,0.497
10503060_1,2760212,2794735,0.497,5554947,0.497
10503060_2,2814895,2748611,0.506,5563506,0.506
10503060_3,2947516,2611707,0.53,5559223,0.53
10503060_4,2924416,2633162,0.526,5557578,0.526
10503060_5,2999775,2562326,0.539,5562101,0.539
10503060_6,3057352,2502605,0.55,5559957,0.55
10503060_7,3017297,2546425,0.542,5563722,0.542
10503060_8,3106469,2451750,0.559,5558219,0.559
10603060_0,3538828,2022713,0.636,5561541,0.636
10603060_1,3492121,2068861,0.628,5560982,0.628
10603060_2,3508599,2050879,0.631,5559478,0.631
10603060_3,3600313,1960224,0.647,5560537,0.647
10603060_4,3531665,2027214,0.635,5558879,0.635
10603060_5,3524498,2036257,0.634,5560755,0.634
10603060_6,3514428,2047939,0.632,5562367,0.632
10603060_7,3430352,2124889,0.617,5555241,0.617
10603060_8,3421199,2140859,0.615,5562058,0.615
10703060_0,2665356,2894400,0.479,5559756,0.479
10703060_1,2641991,2916568,0.475,5558559,0.475
10703060_2,2697438,2859371,0.485,5556809,0.485
10703060_3,2854136,2706851,0.513,5560987,0.513
10703060_4,2815944,2747039,0.506,5562983,0.506
10703060_5,2891868,2668367,0.52,5560235,0.52
10703060_6,3023064,2539730,0.543,5562794,0.543
10703060_7,2962279,2596319,0.533,5558598,0.533
10703060_8,3073347,2483454,0.553,5556801,0.553
10803060_0,2766833,2794115,0.498,5560948,0.498
10803060_1,2751393,2813473,0.494,5564866,0.494
10803060_2,2813571,2742787,0.506,5556358,0.506
10803060_3,2979122,2580425,0.536,5559547,0.536
10803060_4,2923726,2638089,0.526,5561815,0.526
10803060_5,3062172,2497215,0.551,5559387,0.551
10803060_6,3115885,2447008,0.56,5562893,0.56
10803060_7,3027779,2532685,0.545,5560464,0.545
10803060_8,3218977,2343533,0.579,5562510,0.579
10903060_0,3461366,2099689,0.622,5561055,0.622
10903060_1,3462890,2097585,0.623,5560475,0.623
10903060_2,3488161,2072532,0.627,5560693,0.627
10903060_3,3332377,2230980,0.599,5563357,0.599
10903060_4,3302469,2257320,0.594,5559789,0.594
10903060_5,3415018,2144742,0.614,5559760,0.614
10903060_6,3230426,2326018,0.581,5556444,0.581
10903060_7,3173228,2387257,0.571,5560485,0.571
10903060_8,3335837,2223176,0.6,5559013,0.6
11003060_0,2751462,2806149,0.495,5557611,0.495
11003060_1,2790369,2770583,0.502,5560952,0.502
11003060_2,2781284,2777764,0.5,5559048,0.5
11003060_3,2774040,2784568,0.499,5558608,0.499
11003060_4,2812356,2750395,0.506,5562751,0.506
11003060_5,2800021,2759207,0.504,5559228,0.504
11003060_6,2812614,2751720,0.505,5564334,0.505
11003060_7,2840770,2723258,0.511,5564028,0.511
11003060_8,2840519,2719825,0.511,5560344,0.511
11103060_0,2443920,3114654,0.44,5558574,0.44
11103060_1,2528716,3028966,0.455,5557682,0.455
11103060_2,2435158,3124257,0.438,5559415,0.438
11103060_3,2357673,3203682,0.424,5561355,0.424
11103060_4,2471721,3089358,0.444,5561079,0.444
11103060_5,2333587,3226398,0.42,5559985,0.42
11103060_6,2323108,3235895,0.418,5559003,0.418
11103060_7,2462643,3101101,0.443,5563744,0.443
11103060_8,2294793,3263100,0.413,5557893,0.413
11203060_0,3113669,2443662,0.56,5557331,0.56
11203060_1,3121399,2438015,0.561,5559414,0.561
11203060_2,3079542,2481474,0.554,5561016,0.554
11203060_3,3098986,2461741,0.557,5560727,0.557
11203060_4,3109508,2447644,0.56,5557152,0.56
11203060_5,3044248,2519414,0.547,5563662,0.547
11203060_6,3058561,2504151,0.55,5562712,0.55
11203060_7,3073077,2489940,0.552,5563017,0.552
11203060_8,3006478,2552624,0.541,5559102,0.541
