pos,10105060, 10205060, 10305060, 10405060, 10505060, 10605060, 10705060, 10805060, 10905060, 11005060, 11105060, 11205060
0,3519631,3605504,5139608,5107708,3553124,5139908,3463604,3585580,4589817,3559688,3231138,4472403
1,3572216,3668864,5063929,5055217,3619656,5105402,3468115,3659189,4691392,3648879,3407619,4490464
2,3663433,3719419,4935256,5047874,3655118,4980793,3492511,3702563,4635352,3715379,3240668,4378802
3,3644428,3642089,5013118,5167647,3722449,4990986,3702529,3855472,4376109,3593488,3084706,4340824
4,3701481,3731382,4918843,5076593,3752803,4890645,3695786,3836207,4432071,3717578,3334964,4355915
5,3796160,3764847,4777156,5068197,3814525,4748021,3740711,3998740,4506440,3715336,3067529,4180164
6,3883511,3805208,4740363,5051333,3874806,4612560,3990038,4016994,4227306,3751847,3129073,4197091
7,3921045,3883713,4671315,4885638,3868219,4476462,3953899,3912739,4238772,3864244,3400686,4239416
8,4058043,3951947,4538204,4933893,3985219,4368916,4081948,4184328,4431310,3886384,3142440,4099763
