hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
10103120_0,2228290,3448241,0.393,5676531,0.393
10103120_1,2314357,3361913,0.408,5676270,0.408
10103120_2,2198665,3479064,0.387,5677729,0.387
10103120_3,2092447,3587911,0.368,5680358,0.368
10103120_4,2188974,3484510,0.386,5673484,0.386
10103120_5,2052208,3626876,0.361,5679084,0.361
10103120_6,2012614,3668006,0.354,5680620,0.354
10103120_7,2113785,3564902,0.372,5678687,0.372
10103120_8,1977876,3700619,0.348,5678495,0.348
10203120_0,2862383,2814948,0.504,5677331,0.504
10203120_1,2871168,2808566,0.506,5679734,0.506
10203120_2,2895484,2784177,0.51,5679661,0.51
10203120_3,2901361,2774683,0.511,5676044,0.511
10203120_4,2910623,2774074,0.512,5684697,0.512
10203120_5,2953137,2725040,0.52,5678177,0.52
10203120_6,2972599,2705049,0.524,5677648,0.524
10203120_7,2970467,2709747,0.523,5680214,0.523
10203120_8,3025251,2653844,0.533,5679095,0.533
10303120_0,2490693,3183525,0.439,5674218,0.439
10303120_1,2610381,3070989,0.459,5681370,0.459
10303120_2,2407149,3273706,0.424,5680855,0.424
10303120_3,2251867,3431864,0.396,5683731,0.396
10303120_4,2390321,3284690,0.421,5675011,0.421
10303120_5,2160203,3517922,0.38,5678125,0.38
10303120_6,2074022,3605505,0.365,5679527,0.365
10303120_7,2207016,3470042,0.389,5677058,0.389
10303120_8,2004120,3672484,0.353,5676604,0.353
10403120_0,2191957,3484189,0.386,5676146,0.386
10403120_1,2234107,3445339,0.393,5679446,0.393
10403120_2,2211248,3467257,0.389,5678505,0.389
10403120_3,2242884,3435148,0.395,5678032,0.395
10403120_4,2288658,3388203,0.403,5676861,0.403
10403120_5,2269878,3407820,0.4,5677698,0.4
10403120_6,2359769,3319256,0.416,5679025,0.416
10403120_7,2407555,3272797,0.424,5680352,0.424
10403120_8,2388126,3290886,0.421,5679012,0.421
10503120_0,2849140,2828515,0.502,5677655,0.502
10503120_1,2851290,2823300,0.502,5674590,0.502
10503120_2,2898411,2782352,0.51,5680763,0.51
10503120_3,3020389,2655069,0.532,5675458,0.532
10503120_4,2999625,2678953,0.528,5678578,0.528
10503120_5,3072651,2607765,0.541,5680416,0.541
10503120_6,3117238,2559042,0.549,5676280,0.549
10503120_7,3074452,2602791,0.542,5677243,0.542
10503120_8,3173392,2503768,0.559,5677160,0.559
10603120_0,3630899,2046934,0.639,5677833,0.639
10603120_1,3580411,2094394,0.631,5674805,0.631
10603120_2,3590934,2089741,0.632,5680675,0.632
10603120_3,3683395,1996782,0.648,5680177,0.648
10603120_4,3607296,2067961,0.636,5675257,0.636
10603120_5,3596543,2077841,0.634,5674384,0.634
10603120_6,3584354,2094947,0.631,5679301,0.631
10603120_7,3497949,2183244,0.616,5681193,0.616
10603120_8,3482916,2195085,0.613,5678001,0.613
10703120_0,2766423,2911457,0.487,5677880,0.487
10703120_1,2739109,2939637,0.482,5678746,0.482
10703120_2,2804161,2875679,0.494,5679840,0.494
10703120_3,2973225,2705589,0.524,5678814,0.524
10703120_4,2926002,2753684,0.515,5679686,0.515
10703120_5,3012153,2667088,0.53,5679241,0.53
10703120_6,3145251,2528803,0.554,5674054,0.554
10703120_7,3081097,2595087,0.543,5676184,0.543
10703120_8,3207091,2471846,0.565,5678937,0.565
10803120_0,2822486,2859568,0.497,5682054,0.497
10803120_1,2807593,2874852,0.494,5682445,0.494
10803120_2,2872169,2802486,0.506,5674655,0.506
10803120_3,3038054,2636585,0.535,5674639,0.535
10803120_4,2981510,2694447,0.525,5675957,0.525
10803120_5,3126219,2551352,0.551,5677571,0.551
10803120_6,3176160,2502766,0.559,5678926,0.559
10803120_7,3080978,2600086,0.542,5681064,0.542
10803120_8,3280849,2400602,0.577,5681451,0.577
10903120_0,3479486,2194250,0.613,5673736,0.613
10903120_1,3487299,2188853,0.614,5676152,0.614
10903120_2,3510937,2167598,0.618,5678535,0.618
10903120_3,3356356,2322503,0.591,5678859,0.591
10903120_4,3330103,2345006,0.587,5675109,0.587
10903120_5,3438998,2240085,0.606,5679083,0.606
10903120_6,3259156,2420260,0.574,5679416,0.574
10903120_7,3197733,2478453,0.563,5676186,0.563
10903120_8,3361465,2317187,0.592,5678652,0.592
11003120_0,2818240,2862021,0.496,5680261,0.496
11003120_1,2852742,2821327,0.503,5674069,0.503
11003120_2,2843086,2836180,0.501,5679266,0.501
11003120_3,2823843,2851652,0.498,5675495,0.498
11003120_4,2867180,2814705,0.505,5681885,0.505
11003120_5,2850825,2826324,0.502,5677149,0.502
11003120_6,2865475,2813754,0.505,5679229,0.505
11003120_7,2894563,2782151,0.51,5676714,0.51
11003120_8,2900545,2777116,0.511,5677661,0.511
11103120_0,2507460,3170968,0.442,5678428,0.442
11103120_1,2597137,3081760,0.457,5678897,0.457
11103120_2,2497051,3180071,0.44,5677122,0.44
11103120_3,2418343,3260700,0.426,5679043,0.426
11103120_4,2537154,3141252,0.447,5678406,0.447
11103120_5,2394760,3282669,0.422,5677429,0.422
11103120_6,2386846,3291408,0.42,5678254,0.42
11103120_7,2524763,3150901,0.445,5675664,0.445
11103120_8,2360038,3319870,0.416,5679908,0.416
11203120_0,3197855,2483128,0.563,5680983,0.563
11203120_1,3194885,2475828,0.563,5670713,0.563
11203120_2,3154769,2523251,0.556,5678020,0.556
11203120_3,3178063,2501328,0.56,5679391,0.56
11203120_4,3181509,2495883,0.56,5677392,0.56
11203120_5,3116792,2563144,0.549,5679936,0.549
11203120_6,3130286,2548217,0.551,5678503,0.551
11203120_7,3142300,2538290,0.553,5680590,0.553
11203120_8,3077319,2596837,0.542,5674156,0.542
