hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
107001_0,63963,68598,0.483,132561,0.483
107001_1,64241,68270,0.485,132511,0.485
107001_2,63896,69511,0.479,133407,0.479
107001_3,62312,70576,0.469,132888,0.469
107001_4,62465,70132,0.471,132597,0.471
107001_5,62333,70322,0.47,132655,0.47
107001_6,62180,70754,0.468,132934,0.468
107001_7,62410,70636,0.469,133046,0.469
107001_8,61911,70962,0.466,132873,0.466
107002_0,69288,63478,0.522,132766,0.522
107002_1,69585,63631,0.522,133216,0.522
107002_2,70424,62772,0.529,133196,0.529
107002_3,69574,63430,0.523,133004,0.523
107002_4,68254,64542,0.514,132796,0.514
107002_5,69126,64141,0.519,133267,0.519
107002_6,70148,63213,0.526,133361,0.526
107002_7,69326,63763,0.521,133089,0.521
107002_8,69493,63669,0.522,133162,0.522
107008_0,63549,68590,0.481,132139,0.481
107008_1,63378,69704,0.476,133082,0.476
107008_2,66177,66476,0.499,132653,0.499
107008_3,68398,64607,0.514,133005,0.514
107008_4,66656,66034,0.502,132690,0.502
107008_5,68588,64108,0.517,132696,0.517
107008_6,69143,63797,0.52,132940,0.52
107008_7,67270,65226,0.508,132496,0.508
107008_8,69631,63786,0.522,133417,0.522
107010_0,62768,70040,0.473,132808,0.473
107010_1,61250,71607,0.461,132857,0.461
107010_2,61508,71355,0.463,132863,0.463
107010_3,61671,70886,0.465,132557,0.465
107010_4,60969,72148,0.458,133117,0.458
107010_5,61249,71197,0.462,132446,0.462
107010_6,61528,71055,0.464,132583,0.464
107010_7,60607,72755,0.454,133362,0.454
107010_8,60744,71626,0.459,132370,0.459
107011_0,59313,73328,0.447,132641,0.447
107011_1,58645,73781,0.443,132426,0.443
107011_2,59602,73480,0.448,133082,0.448
107011_3,60685,73025,0.454,133710,0.454
107011_4,59812,73535,0.449,133347,0.449
107011_5,61103,72035,0.459,133138,0.459
107011_6,61198,71604,0.461,132802,0.461
107011_7,60836,71710,0.459,132546,0.459
107011_8,62439,71170,0.467,133609,0.467
107012_0,66144,66880,0.497,133024,0.497
107012_1,64366,68288,0.485,132654,0.485
107012_2,65017,67954,0.489,132971,0.489
107012_3,64408,68976,0.483,133384,0.483
107012_4,63480,69679,0.477,133159,0.477
107012_5,63606,69438,0.478,133044,0.478
107012_6,64028,68643,0.483,132671,0.483
107012_7,62703,69751,0.473,132454,0.473
107012_8,63221,69002,0.478,132223,0.478
107013_0,72926,59632,0.55,132558,0.55
107013_1,73184,59739,0.551,132923,0.551
107013_2,72652,59969,0.548,132621,0.548
107013_3,69933,63036,0.526,132969,0.526
107013_4,69519,62955,0.525,132474,0.525
107013_5,70271,62523,0.529,132794,0.529
107013_6,68993,63688,0.52,132681,0.52
107013_7,68816,63595,0.52,132411,0.52
107013_8,69736,62750,0.526,132486,0.526
107018_0,62913,70385,0.472,133298,0.472
107018_1,61291,71330,0.462,132621,0.462
107018_2,61362,71411,0.462,132773,0.462
107018_3,60284,72218,0.455,132502,0.455
107018_4,59534,73064,0.449,132598,0.449
107018_5,60425,72547,0.454,132972,0.454
107018_6,60487,72336,0.455,132823,0.455
107018_7,59516,73589,0.447,133105,0.447
107018_8,60434,72419,0.455,132853,0.455
107019_0,51456,81709,0.386,133165,0.386
107019_1,52717,79660,0.398,132377,0.398
107019_2,53541,79134,0.404,132675,0.404
107019_3,53398,78907,0.404,132305,0.404
107019_4,53825,78716,0.406,132541,0.406
107019_5,53887,78621,0.407,132508,0.407
107019_6,53420,79675,0.401,133095,0.401
107019_7,53951,79140,0.405,133091,0.405
107019_8,54123,78665,0.408,132788,0.408
107020_0,67567,64800,0.51,132367,0.51
107020_1,66469,65891,0.502,132360,0.502
107020_2,68437,64520,0.515,132957,0.515
107020_3,66811,66637,0.501,133448,0.501
107020_4,66074,66874,0.497,132948,0.497
107020_5,68204,64726,0.513,132930,0.513
107020_6,66537,66300,0.501,132837,0.501
107020_7,66281,67122,0.497,133403,0.497
107020_8,68534,64184,0.516,132718,0.516
107021_0,73458,58698,0.556,132156,0.556
107021_1,72665,60291,0.547,132956,0.547
107021_2,73448,59700,0.552,133148,0.552
107021_3,73388,58968,0.554,132356,0.554
107021_4,72667,59957,0.548,132624,0.548
107021_5,73859,58575,0.558,132434,0.558
107021_6,74658,58071,0.562,132729,0.562
107021_7,73948,58791,0.557,132739,0.557
107021_8,74906,57721,0.565,132627,0.565
107023_0,51959,80224,0.393,132183,0.393
107023_1,53121,79037,0.402,132158,0.402
107023_2,53178,79327,0.401,132505,0.401
107023_3,53011,80346,0.398,133357,0.398
107023_4,53307,79666,0.401,132973,0.401
107023_5,53491,79738,0.401,133229,0.401
107023_6,54777,77798,0.413,132575,0.413
107023_7,55248,77549,0.416,132797,0.416
107023_8,55558,77496,0.418,133054,0.418
107024_0,52582,80116,0.396,132698,0.396
107024_1,53060,79977,0.399,133037,0.399
107024_2,52563,79264,0.399,131827,0.399
107024_3,51903,80478,0.392,132381,0.392
107024_4,53196,79839,0.4,133035,0.4
107024_5,53016,79720,0.399,132736,0.399
107024_6,53313,79621,0.401,132934,0.401
107024_7,54354,79020,0.408,133374,0.408
107024_8,54654,77770,0.413,132424,0.413
107025_0,70578,62067,0.532,132645,0.532
107025_1,69375,63224,0.523,132599,0.523
107025_2,71145,60897,0.539,132042,0.539
107025_3,72549,60306,0.546,132855,0.546
107025_4,70637,61809,0.533,132446,0.533
107025_5,72091,61013,0.542,133104,0.542
107025_6,71278,61731,0.536,133009,0.536
107025_7,70000,63215,0.525,133215,0.525
107025_8,70936,62207,0.533,133143,0.533
107026_0,70641,62495,0.531,133136,0.531
107026_1,70059,62858,0.527,132917,0.527
107026_2,70040,63055,0.526,133095,0.526
107026_3,69079,63409,0.521,132488,0.521
107026_4,69395,63994,0.52,133389,0.52
107026_5,69019,64006,0.519,133025,0.519
107026_6,69049,64195,0.518,133244,0.518
107026_7,68549,63962,0.517,132511,0.517
107026_8,68268,64874,0.513,133142,0.513
107027_0,72786,59804,0.549,132590,0.549
107027_1,74424,58843,0.558,133267,0.558
107027_2,73748,58572,0.557,132320,0.557
107027_3,73029,59298,0.552,132327,0.552
107027_4,74491,58103,0.562,132594,0.562
107027_5,74692,58367,0.561,133059,0.561
107027_6,75075,57358,0.567,132433,0.567
107027_7,75958,56447,0.574,132405,0.574
107027_8,76404,56149,0.576,132553,0.576
107031_0,53591,78988,0.404,132579,0.404
107031_1,53642,79448,0.403,133090,0.403
107031_2,53023,79864,0.399,132887,0.399
107031_3,52842,80418,0.397,133260,0.397
107031_4,52351,80411,0.394,132762,0.394
107031_5,53632,79831,0.402,133463,0.402
107031_6,53963,78613,0.407,132576,0.407
107031_7,54319,77848,0.411,132167,0.411
107031_8,55111,77461,0.416,132572,0.416
107032_0,54390,77955,0.411,132345,0.411
107032_1,55012,77716,0.414,132728,0.414
107032_2,53753,78596,0.406,132349,0.406
107032_3,53154,80377,0.398,133531,0.398
107032_4,53737,79705,0.403,133442,0.403
107032_5,53195,80135,0.399,133330,0.399
107032_6,53695,79615,0.403,133310,0.403
107032_7,54527,78377,0.41,132904,0.41
107032_8,53731,78228,0.407,131959,0.407
107033_0,69525,63540,0.522,133065,0.522
107033_1,66782,65488,0.505,132270,0.505
107033_2,69613,63344,0.524,132957,0.524
107033_3,69956,62853,0.527,132809,0.527
107033_4,68309,64543,0.514,132852,0.514
107033_5,71087,61556,0.536,132643,0.536
107033_6,70359,61829,0.532,132188,0.532
107033_7,69199,63839,0.52,133038,0.52
107033_8,71451,61056,0.539,132507,0.539
107034_0,47552,85440,0.358,132992,0.358
107034_1,47221,85919,0.355,133140,0.355
107034_2,49066,84168,0.368,133234,0.368
107034_3,49597,83277,0.373,132874,0.373
107034_4,49426,83841,0.371,133267,0.371
107034_5,50700,81697,0.383,132397,0.383
107034_6,51967,81075,0.391,133042,0.391
107034_7,51303,81541,0.386,132844,0.386
107034_8,52575,79611,0.398,132186,0.398
107035_0,52885,80338,0.397,133223,0.397
107035_1,52124,80290,0.394,132414,0.394
107035_2,54175,79288,0.406,133463,0.406
107035_3,54366,78251,0.41,132617,0.41
107035_4,53979,78861,0.406,132840,0.406
107035_5,55006,77785,0.414,132791,0.414
107035_6,56218,76326,0.424,132544,0.424
107035_7,55411,77119,0.418,132530,0.418
107035_8,56256,76321,0.424,132577,0.424
107036_0,67209,65917,0.505,133126,0.505
107036_1,66765,66291,0.502,133056,0.502
107036_2,67376,65661,0.506,133037,0.506
107036_3,67205,65090,0.508,132295,0.508
107036_4,67494,66000,0.506,133494,0.506
107036_5,68190,64757,0.513,132947,0.513
107036_6,69237,63420,0.522,132657,0.522
107036_7,68578,64048,0.517,132626,0.517
107036_8,69931,62882,0.527,132813,0.527
107038_0,70184,62727,0.528,132911,0.528
107038_1,68747,63898,0.518,132645,0.518
107038_2,69655,62286,0.528,131941,0.528
107038_3,70230,62319,0.53,132549,0.53
107038_4,69636,63987,0.521,133623,0.521
107038_5,70152,62056,0.531,132208,0.531
107038_6,69317,62588,0.526,131905,0.526
107038_7,69202,63886,0.52,133088,0.52
107038_8,69865,63192,0.525,133057,0.525
107039_0,73553,59649,0.552,133202,0.552
107039_1,80239,52057,0.607,132296,0.607
107039_2,69691,62812,0.526,132503,0.526
107039_3,67251,65674,0.506,132925,0.506
107039_4,73682,59804,0.552,133486,0.552
107039_5,63654,68178,0.483,131832,0.483
107039_6,64875,67649,0.49,132524,0.49
107039_7,69707,62625,0.527,132332,0.527
107039_8,62380,70413,0.47,132793,0.47
107040_0,85784,47438,0.644,133222,0.644
107040_1,83813,48812,0.632,132625,0.632
107040_2,86133,46858,0.648,132991,0.648
107040_3,84802,47777,0.64,132579,0.64
107040_4,83508,49233,0.629,132741,0.629
107040_5,86583,46978,0.648,133561,0.648
107040_6,83475,49327,0.629,132802,0.629
107040_7,81831,50314,0.619,132145,0.619
107040_8,84062,48498,0.634,132560,0.634
107041_0,57510,74420,0.436,131930,0.436
107041_1,60013,72684,0.452,132697,0.452
107041_2,57763,75082,0.435,132845,0.435
107041_3,56754,75827,0.428,132581,0.428
107041_4,58589,74602,0.44,133191,0.44
107041_5,57689,74707,0.436,132396,0.436
107041_6,58473,74380,0.44,132853,0.44
107041_7,59846,73219,0.45,133065,0.45
107041_8,59757,73400,0.449,133157,0.449
107042_0,87323,45297,0.658,132620,0.658
107042_1,90980,42013,0.684,132993,0.684
107042_2,86677,45547,0.656,132224,0.656
107042_3,85099,47575,0.641,132674,0.641
107042_4,88048,44611,0.664,132659,0.664
107042_5,84569,48325,0.636,132894,0.636
107042_6,84859,48111,0.638,132970,0.638
107042_7,88014,45281,0.66,133295,0.66
107042_8,84432,48411,0.636,132843,0.636
107043_0,59918,72791,0.451,132709,0.451
107043_1,62131,70235,0.469,132366,0.469
107043_2,60355,72708,0.454,133063,0.454
107043_3,59510,73730,0.447,133240,0.447
107043_4,61253,71287,0.462,132540,0.462
107043_5,59064,73150,0.447,132214,0.447
107043_6,60847,71929,0.458,132776,0.458
107043_7,62859,69893,0.474,132752,0.474
107043_8,60748,72154,0.457,132902,0.457
107044_0,70406,62108,0.531,132514,0.531
107044_1,70495,62341,0.531,132836,0.531
107044_2,72247,60687,0.543,132934,0.543
107044_3,73650,59618,0.553,133268,0.553
107044_4,71838,61391,0.539,133229,0.539
107044_5,72455,60023,0.547,132478,0.547
107044_6,72498,59497,0.549,131995,0.549
107044_7,72038,60955,0.542,132993,0.542
107044_8,72102,60087,0.545,132189,0.545
107045_0,55440,77159,0.418,132599,0.418
107045_1,55907,76722,0.422,132629,0.422
107045_2,55224,76890,0.418,132114,0.418
107045_3,54905,77324,0.415,132229,0.415
107045_4,55044,77447,0.415,132491,0.415
107045_5,56079,77178,0.421,133257,0.421
107045_6,55727,76302,0.422,132029,0.422
107045_7,56217,76272,0.424,132489,0.424
107045_8,56924,75669,0.429,132593,0.429
107046_0,61818,71474,0.464,133292,0.464
107046_1,60812,71857,0.458,132669,0.458
107046_2,62718,70391,0.471,133109,0.471
107046_3,62197,70083,0.47,132280,0.47
107046_4,61312,71088,0.463,132400,0.463
107046_5,63738,69183,0.48,132921,0.48
107046_6,64921,67777,0.489,132698,0.489
107046_7,63327,68760,0.479,132087,0.479
107046_8,66237,66595,0.499,132832,0.499
107049_0,60492,72387,0.455,132879,0.455
107049_1,61153,72386,0.458,133539,0.458
107049_2,61353,70968,0.464,132321,0.464
107049_3,62149,70684,0.468,132833,0.468
107049_4,63103,69652,0.475,132755,0.475
107049_5,62263,69757,0.472,132020,0.472
107049_6,62445,70676,0.469,133121,0.469
107049_7,63071,70073,0.474,133144,0.474
107049_8,63467,69566,0.477,133033,0.477
107051_0,68416,64530,0.515,132946,0.515
107051_1,67187,65401,0.507,132588,0.507
107051_2,69288,63935,0.52,133223,0.52
107051_3,67713,64881,0.511,132594,0.511
107051_4,67582,65592,0.507,133174,0.507
107051_5,68648,63799,0.518,132447,0.518
107051_6,68621,64474,0.516,133095,0.516
107051_7,67940,64867,0.512,132807,0.512
107051_8,68897,64343,0.517,133240,0.517
107060_0,89299,43731,0.671,133030,0.671
107060_1,88544,44315,0.666,132859,0.666
107060_2,92360,41005,0.693,133365,0.693
107060_3,91567,41022,0.691,132589,0.691
107060_4,89615,42567,0.678,132182,0.678
107060_5,91690,41126,0.69,132816,0.69
107060_6,90711,41764,0.685,132475,0.685
107060_7,88836,44054,0.668,132890,0.668
107060_8,89978,42836,0.677,132814,0.677
107061_0,96133,36695,0.724,132828,0.724
107061_1,97126,36322,0.728,133448,0.728
107061_2,96735,36386,0.727,133121,0.727
107061_3,95318,37252,0.719,132570,0.719
107061_4,95474,36733,0.722,132207,0.722
107061_5,95591,37799,0.717,133390,0.717
107061_6,94874,37969,0.714,132843,0.714
107061_7,95663,36922,0.722,132585,0.722
107061_8,94743,37849,0.715,132592,0.715
107062_0,80890,51639,0.61,132529,0.61
107062_1,79643,52828,0.601,132471,0.601
107062_2,80803,52006,0.608,132809,0.608
107062_3,81058,50898,0.614,131956,0.614
107062_4,80170,51968,0.607,132138,0.607
107062_5,82685,50122,0.623,132807,0.623
107062_6,83014,49348,0.627,132362,0.627
107062_7,83087,50305,0.623,133392,0.623
107062_8,84928,47949,0.639,132877,0.639
107063_0,61239,71929,0.46,133168,0.46
107063_1,62443,70671,0.469,133114,0.469
107063_2,63371,69603,0.477,132974,0.477
107063_3,62591,70485,0.47,133076,0.47
107063_4,62717,70582,0.47,133299,0.47
107063_5,62740,69517,0.474,132257,0.474
107063_6,63155,69636,0.476,132791,0.476
107063_7,62341,70580,0.469,132921,0.469
107063_8,63394,69684,0.476,133078,0.476
107083_0,73270,59659,0.551,132929,0.551
107083_1,70863,61781,0.534,132644,0.534
107083_2,73176,59892,0.55,133068,0.55
107083_3,73417,59123,0.554,132540,0.554
107083_4,71660,61293,0.539,132953,0.539
107083_5,73945,58802,0.557,132747,0.557
107083_6,73707,59225,0.554,132932,0.554
107083_7,71770,61275,0.539,133045,0.539
107083_8,73487,58961,0.555,132448,0.555
107084_0,98992,34114,0.744,133106,0.744
107084_1,99228,33056,0.75,132284,0.75
107084_2,98302,35258,0.736,133560,0.736
107084_3,96557,36820,0.724,133377,0.724
107084_4,97049,35430,0.733,132479,0.733
107084_5,96540,37020,0.723,133560,0.723
107084_6,95979,37640,0.718,133619,0.718
107084_7,96800,35708,0.731,132508,0.731
107084_8,94843,37876,0.715,132719,0.715
107085_0,70657,62132,0.532,132789,0.532
107085_1,68645,64314,0.516,132959,0.516
107085_2,69599,63119,0.524,132718,0.524
107085_3,69709,62977,0.525,132686,0.525
107085_4,67925,65240,0.51,133165,0.51
107085_5,69050,63557,0.521,132607,0.521
107085_6,68788,64379,0.517,133167,0.517
107085_7,66841,65693,0.504,132534,0.504
107085_8,67925,65051,0.511,132976,0.511
107086_0,50074,82799,0.377,132873,0.377
107086_1,50893,82859,0.381,133752,0.381
107086_2,51133,81433,0.386,132566,0.386
107086_3,51103,81729,0.385,132832,0.385
107086_4,51968,80932,0.391,132900,0.391
107086_5,52152,80699,0.393,132851,0.393
107086_6,52679,79703,0.398,132382,0.398
107086_7,53661,79472,0.403,133133,0.403
107086_8,54139,78837,0.407,132976,0.407
107087_0,59847,72870,0.451,132717,0.451
107087_1,61750,70707,0.466,132457,0.466
107087_2,60208,72271,0.454,132479,0.454
107087_3,60485,72475,0.455,132960,0.455
107087_4,61434,71075,0.464,132509,0.464
107087_5,60953,71768,0.459,132721,0.459
107087_6,60761,71635,0.459,132396,0.459
107087_7,62410,70273,0.47,132683,0.47
107087_8,62251,70476,0.469,132727,0.469
107088_0,64240,68109,0.485,132349,0.485
107088_1,65042,68143,0.488,133185,0.488
107088_2,64555,68093,0.487,132648,0.487
107088_3,63891,68462,0.483,132353,0.483
107088_4,64958,67645,0.49,132603,0.49
107088_5,64157,67913,0.486,132070,0.486
107088_6,65451,67432,0.493,132883,0.493
107088_7,66095,66592,0.498,132687,0.498
107088_8,65851,66794,0.496,132645,0.496
107089_0,72727,60199,0.547,132926,0.547
107089_1,72507,60123,0.547,132630,0.547
107089_2,73315,59244,0.553,132559,0.553
107089_3,71844,60993,0.541,132837,0.541
107089_4,72212,61199,0.541,133411,0.541
107089_5,73840,59559,0.554,133399,0.554
107089_6,74664,58005,0.563,132669,0.563
107089_7,75338,57730,0.566,133068,0.566
107089_8,76061,56193,0.575,132254,0.575
107090_0,63323,68785,0.479,132108,0.479
107090_1,63468,69635,0.477,133103,0.477
107090_2,65196,67581,0.491,132777,0.491
107090_3,66239,66007,0.501,132246,0.501
107090_4,65369,67405,0.492,132774,0.492
107090_5,66774,65663,0.504,132437,0.504
107090_6,66023,66712,0.497,132735,0.497
107090_7,65509,67303,0.493,132812,0.493
107090_8,66301,66168,0.501,132469,0.501
107092_0,77882,55031,0.586,132913,0.586
107092_1,78904,53500,0.596,132404,0.596
107092_2,77291,55400,0.582,132691,0.582
107092_3,76024,56887,0.572,132911,0.572
107092_4,77258,55778,0.581,133036,0.581
107092_5,75733,56776,0.572,132509,0.572
107092_6,76864,55913,0.579,132777,0.579
107092_7,77528,54923,0.585,132451,0.585
107092_8,77010,55970,0.579,132980,0.579
107093_0,51188,81670,0.385,132858,0.385
107093_1,52053,81025,0.391,133078,0.391
107093_2,51226,81997,0.385,133223,0.385
107093_3,50711,82177,0.382,132888,0.382
107093_4,51683,81075,0.389,132758,0.389
107093_5,51710,81574,0.388,133284,0.388
107093_6,52149,80531,0.393,132680,0.393
107093_7,53134,79154,0.402,132288,0.402
107093_8,53717,79508,0.403,133225,0.403
107094_0,46939,85659,0.354,132598,0.354
107094_1,48083,85390,0.36,133473,0.36
107094_2,46943,86143,0.353,133086,0.353
107094_3,46133,86275,0.348,132408,0.348
107094_4,47443,85333,0.357,132776,0.357
107094_5,46087,86892,0.347,132979,0.347
107094_6,46503,86349,0.35,132852,0.35
107094_7,47782,85198,0.359,132980,0.359
107094_8,46764,85921,0.352,132685,0.352
107095_0,58473,74759,0.439,133232,0.439
107095_1,58692,74023,0.442,132715,0.442
107095_2,59294,73006,0.448,132300,0.448
107095_3,58359,73938,0.441,132297,0.441
107095_4,59302,73799,0.446,133101,0.446
107095_5,59176,73460,0.446,132636,0.446
107095_6,59766,73145,0.45,132911,0.45
107095_7,60515,72951,0.453,133466,0.453
107095_8,60872,72653,0.456,133525,0.456
107096_0,63573,68861,0.48,132434,0.48
107096_1,64994,67866,0.489,132860,0.489
107096_2,65888,66564,0.497,132452,0.497
107096_3,67184,65499,0.506,132683,0.506
107096_4,66808,66471,0.501,133279,0.501
107096_5,66099,66100,0.5,132199,0.5
107096_6,65734,66817,0.496,132551,0.496
107096_7,64932,67816,0.489,132748,0.489
107096_8,64981,68166,0.488,133147,0.488
107097_0,47519,85102,0.358,132621,0.358
107097_1,47747,85087,0.359,132834,0.359
107097_2,48288,84328,0.364,132616,0.364
107097_3,49382,83769,0.371,133151,0.371
107097_4,48708,83665,0.368,132373,0.368
107097_5,50934,82511,0.382,133445,0.382
107097_6,50444,82432,0.38,132876,0.38
107097_7,50693,82505,0.381,133198,0.381
107097_8,52409,80862,0.393,133271,0.393
107098_0,88898,43609,0.671,132507,0.671
107098_1,86682,46653,0.65,133335,0.65
107098_2,86344,46078,0.652,132422,0.652
107098_3,87358,45939,0.655,133297,0.655
107098_4,84293,48210,0.636,132503,0.636
107098_5,85572,47314,0.644,132886,0.644
107098_6,84802,48130,0.638,132932,0.638
107098_7,82781,49907,0.624,132688,0.624
107098_8,83768,48828,0.632,132596,0.632
107100_0,84619,47909,0.638,132528,0.638
107100_1,85289,47802,0.641,133091,0.641
107100_2,83449,49277,0.629,132726,0.629
107100_3,71249,61695,0.536,132944,0.536
107100_4,71244,61819,0.535,133063,0.535
107100_5,70504,62737,0.529,133241,0.529
107100_6,70859,62230,0.532,133089,0.532
107100_7,70924,61631,0.535,132555,0.535
107100_8,70283,62554,0.529,132837,0.529
107101_0,52788,80499,0.396,133287,0.396
107101_1,53292,79028,0.403,132320,0.403
107101_2,54902,78015,0.413,132917,0.413
107101_3,54123,78679,0.408,132802,0.408
107101_4,54551,78266,0.411,132817,0.411
107101_5,55298,76852,0.418,132150,0.418
