hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
104001_0,143616,140843,0.505,284459,0.505
104001_1,302679,442041,0.406,744720,0.406
104001_2,104447,90765,0.535,195212,0.535
104001_6,2748,1113,0.712,3861,0.712
104001_7,38089,28997,0.568,67086,0.568
104002_0,70013,66314,0.514,136327,0.514
104002_2,33696,21832,0.607,55528,0.607
104002_3,514614,580407,0.47,1095021,0.47
104002_6,8134,3133,0.722,11267,0.722
104002_8,188,12,0.94,200,0.94
104008_5,5368,206,0.963,5574,0.963
104008_6,79357,12978,0.859,92335,0.859
104008_8,762395,437060,0.636,1199455,0.636
104010_0,418260,484549,0.463,902809,0.463
104010_1,118668,135193,0.467,253861,0.467
104010_2,71519,42296,0.628,113815,0.628
104010_3,17380,6514,0.727,23894,0.727
104010_6,1676,448,0.789,2124,0.789
104011_2,3297,2957,0.527,6254,0.527
104011_5,20779,20728,0.501,41507,0.501
104011_6,260830,384369,0.404,645199,0.404
104011_7,64852,68669,0.486,133521,0.486
104011_8,202575,268918,0.43,471493,0.43
104012_0,291038,370763,0.44,661801,0.44
104012_1,10019,8500,0.541,18519,0.541
104012_2,208975,244527,0.461,453502,0.461
104012_3,81734,67485,0.548,149219,0.548
104012_6,8548,4718,0.644,13266,0.644
104013_0,1307,163,0.889,1470,0.889
104013_1,103,7,0.936,110,0.936
104013_2,534635,567427,0.485,1102062,0.485
104013_5,23306,6903,0.771,30209,0.771
104013_8,96263,64819,0.598,161082,0.598
104018_0,323667,425638,0.432,749305,0.432
104018_1,38458,38757,0.498,77215,0.498
104018_2,193528,226161,0.461,419689,0.461
104018_3,1077,92,0.921,1169,0.921
104018_6,30248,18895,0.616,49143,0.616
104019_0,95396,178761,0.348,274157,0.348
104019_1,117616,209702,0.359,327318,0.359
104019_5,87392,132653,0.397,220045,0.397
104019_7,219973,248798,0.469,468771,0.469
104019_8,1771,3165,0.359,4936,0.359
104020_2,33379,26567,0.557,59946,0.557
104020_5,254522,252945,0.502,507467,0.502
104020_6,613,306,0.667,919,0.667
104020_7,8274,5030,0.622,13304,0.622
104020_8,293181,419060,0.412,712241,0.412
104021_6,1062832,234983,0.819,1297815,0.819
104023_4,8747,11208,0.438,19955,0.438
104023_5,53586,69426,0.436,123012,0.436
104023_6,135282,234409,0.366,369691,0.366
104023_7,188880,268349,0.413,457229,0.413
104023_8,135162,192766,0.412,327928,0.412
104024_1,100612,190069,0.346,290681,0.346
104024_4,109517,209104,0.344,318621,0.344
104024_6,3275,6902,0.322,10177,0.322
104024_7,226350,296274,0.433,522624,0.433
104024_8,62468,89915,0.41,152383,0.41
104025_0,458883,522173,0.468,981056,0.468
104025_1,23360,14162,0.623,37522,0.623
104025_2,142491,117072,0.549,259563,0.549
104025_3,12202,3351,0.785,15553,0.785
104025_5,1019,202,0.835,1221,0.835
104026_0,365579,451647,0.447,817226,0.447
104026_1,136872,161274,0.459,298146,0.459
104026_2,83029,57817,0.59,140846,0.59
