hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
108001_0,310066,439552,0.414,749618,0.414
108001_1,162229,190921,0.459,353150,0.459
108001_2,76312,50112,0.604,126424,0.604
108001_5,39287,20243,0.66,59530,0.66
108001_6,4902,2016,0.709,6918,0.709
108002_0,2346,115,0.953,2461,0.953
108002_1,152,3,0.981,155,0.981
108002_2,25520,3751,0.872,29271,0.872
108002_6,648450,615467,0.513,1263917,0.513
108008_5,5168,271,0.95,5439,0.95
108008_6,156160,28021,0.848,184181,0.848
108008_8,664373,441636,0.601,1106009,0.601
108010_0,266689,388153,0.407,654842,0.407
108010_2,2854,2082,0.578,4936,0.578
108010_3,254163,268557,0.486,522720,0.486
108010_6,27400,21808,0.557,49208,0.557
108010_8,31096,32394,0.49,63490,0.49
108011_4,1268,738,0.632,2006,0.632
108011_5,8081,4998,0.618,13079,0.618
108011_6,294905,343058,0.462,637963,0.462
108011_7,83103,69571,0.544,152674,0.544
108011_8,182325,306391,0.373,488716,0.373
108012_0,369405,469226,0.44,838631,0.44
108012_1,5852,3075,0.656,8927,0.656
108012_2,183106,142057,0.563,325163,0.563
108012_3,74755,47330,0.612,122085,0.612
108012_6,1958,560,0.778,2518,0.778
108013_0,412254,500739,0.452,912993,0.452
108013_1,130136,121793,0.517,251929,0.517
108013_2,72743,29196,0.714,101939,0.714
108013_3,829,166,0.833,995,0.833
108013_5,22630,5731,0.798,28361,0.798
108018_0,232543,362953,0.391,595496,0.391
108018_1,39253,44954,0.466,84207,0.466
108018_2,11031,8024,0.579,19055,0.579
108018_5,1644,976,0.627,2620,0.627
108018_6,271998,322014,0.458,594012,0.458
108019_2,323,496,0.394,819,0.394
108019_4,118200,160572,0.424,278772,0.424
108019_5,368612,565160,0.395,933772,0.395
108019_7,1009,854,0.542,1863,0.542
108019_8,33658,47290,0.416,80948,0.416
108020_0,110390,123467,0.472,233857,0.472
108020_2,431477,460488,0.484,891965,0.484
108020_5,31603,11848,0.727,43451,0.727
108020_6,3078,1230,0.714,4308,0.714
108020_8,73769,51204,0.59,124973,0.59
108021_0,1022264,272004,0.79,1294268,0.79
108023_4,7425,17319,0.3,24744,0.3
108023_5,39122,80502,0.327,119624,0.327
108023_6,126125,236998,0.347,363123,0.347
108023_7,251055,329130,0.433,580185,0.433
108023_8,86359,122946,0.413,209305,0.413
108024_4,34841,69761,0.333,104602,0.333
108024_5,604,805,0.429,1409,0.429
108024_6,103798,184338,0.36,288136,0.36
108024_7,264005,362261,0.422,626266,0.422
108024_8,106301,169920,0.385,276221,0.385
108025_2,3532,1677,0.678,5209,0.678
108025_3,613170,584800,0.512,1197970,0.512
108025_5,48182,44045,0.522,92227,0.522
108025_6,491,152,0.764,643,0.764
108025_8,16,0,1.0,16,1.0
108026_0,83801,64399,0.565,148200,0.565
108026_1,28425,14246,0.666,42671,0.666
108026_2,526049,557890,0.485,1083939,0.485
108026_3,396,76,0.839,472,0.839
108026_6,16041,3624,0.816,19665,0.816
108027_8,994687,300909,0.768,1295596,0.768
108031_1,24840,42328,0.37,67168,0.37
108031_2,5880,7650,0.435,13530,0.435
108031_6,91322,165096,0.356,256418,0.356
108031_7,289951,359242,0.447,649193,0.447
108031_8,111714,197647,0.361,309361,0.361
108032_0,98562,125869,0.439,224431,0.439
108032_1,280791,506527,0.357,787318,0.357
108032_2,18329,18555,0.497,36884,0.497
108032_7,120521,120248,0.501,240769,0.501
108032_8,3756,3131,0.545,6887,0.545
108033_0,125,22,0.85,147,0.85
108033_3,2074,341,0.859,2415,0.859
108033_5,255846,151206,0.629,407052,0.629
108033_6,18474,7655,0.707,26129,0.707
108033_8,353881,508406,0.41,862287,0.41
108034_3,9878,23282,0.298,33160,0.298
108034_5,44411,98730,0.31,143141,0.31
108034_6,293725,454312,0.393,748037,0.393
108034_7,85586,104195,0.451,189781,0.451
108034_8,74758,109088,0.407,183846,0.407
108035_3,3081,3369,0.478,6450,0.478
108035_5,87046,106372,0.45,193418,0.45
108035_6,293992,375477,0.439,669469,0.439
108035_7,22589,19081,0.542,41670,0.542
108035_8,138840,246290,0.361,385130,0.361
108036_6,89052,8713,0.911,97765,0.911
108036_8,887593,310341,0.741,1197934,0.741
108038_0,1554,886,0.637,2440,0.637
108038_2,9518,6713,0.586,16231,0.586
108038_3,71515,44060,0.619,115575,0.619
108038_5,573375,588638,0.493,1162013,0.493
108038_6,305,80,0.792,385,0.792
108039_0,9293,4487,0.674,13780,0.674
108039_1,454761,467481,0.493,922242,0.493
108039_2,1970,371,0.842,2341,0.842
108039_4,200276,155473,0.563,355749,0.563
108039_7,226,29,0.886,255,0.886
108040_0,4034,990,0.803,5024,0.803
108040_2,677852,516692,0.567,1194544,0.567
108040_3,679,72,0.904,751,0.904
