hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
103001_0,108112,83881,0.563,191993,0.563
103001_1,365955,514517,0.416,880472,0.416
103001_2,94749,57109,0.624,151858,0.624
103001_4,46840,22003,0.68,68843,0.68
103001_7,1739,325,0.843,2064,0.843
103002_0,283476,343671,0.452,627147,0.452
103002_2,219291,220043,0.499,439334,0.499
103002_3,139922,77512,0.644,217434,0.644
103002_6,817,97,0.894,914,0.894
103002_8,10766,1981,0.845,12747,0.845
103008_3,386,786,0.329,1172,0.329
103008_5,13947,26026,0.349,39973,0.349
103008_6,273513,354858,0.435,628371,0.435
103008_7,1543,1629,0.486,3172,0.486
103008_8,284594,337957,0.457,622551,0.457
103010_0,432131,483881,0.472,916012,0.472
103010_1,149585,123083,0.549,272668,0.549
103010_2,3496,765,0.82,4261,0.82
103010_3,80997,22595,0.782,103592,0.782
103010_5,572,44,0.929,616,0.929
103011_3,575,1453,0.284,2028,0.284
103011_5,7403,17931,0.292,25334,0.292
103011_6,279823,366802,0.433,646625,0.433
103011_7,20042,37354,0.349,57396,0.349
103011_8,266256,299212,0.471,565468,0.471
103012_0,308038,394869,0.438,702907,0.438
103012_1,68312,53353,0.561,121665,0.561
103012_2,210086,208188,0.502,418274,0.502
103012_3,36565,14110,0.722,50675,0.722
103012_5,3217,691,0.823,3908,0.823
103013_0,481,83,0.853,564,0.853
103013_1,91,19,0.827,110,0.827
103013_2,548564,544328,0.502,1092892,0.502
103013_5,7840,2935,0.728,10775,0.728
103013_8,133725,57748,0.698,191473,0.698
103018_0,239959,328715,0.422,568674,0.422
103018_1,174911,235967,0.426,410878,0.426
103018_2,106347,98617,0.519,204964,0.519
103018_6,68542,43109,0.614,111651,0.614
103019_0,101913,196056,0.342,297969,0.342
103019_1,181114,312479,0.367,493593,0.367
103019_4,199666,277059,0.419,476725,0.419
103019_7,16269,6896,0.702,23165,0.702
103019_8,3221,1418,0.694,4639,0.694
103020_2,18495,10589,0.636,29084,0.636
103020_3,552,223,0.712,775,0.712
103020_5,204236,218664,0.483,422900,0.483
103020_7,7356,3472,0.679,10828,0.679
103020_8,382499,451734,0.459,834233,0.459
103021_3,40,25,0.615,65,0.615
103021_5,418,440,0.487,858,0.487
103021_6,181616,190021,0.489,371637,0.489
103021_7,5508,5872,0.484,11380,0.484
103021_8,429550,484425,0.47,913975,0.47
103023_1,2181,3564,0.38,5745,0.38
103023_4,34020,87487,0.28,121507,0.28
103023_6,300130,423471,0.415,723601,0.415
103023_7,59664,96631,0.382,156295,0.382
