hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
114001_0,341206,472025,0.42,813231,0.42
114001_1,146537,171076,0.461,317613,0.461
114001_2,72612,44615,0.619,117227,0.619
114001_3,32378,13647,0.703,46025,0.703
114001_4,2232,668,0.77,2900,0.77
114002_0,19027,5097,0.789,24124,0.789
114002_1,54426,21778,0.714,76204,0.714
114002_2,651688,538919,0.547,1190607,0.547
114002_6,3569,354,0.91,3923,0.91
114008_3,628,192,0.766,820,0.766
114008_5,7596,2635,0.742,10231,0.742
114008_6,709015,576356,0.552,1285371,0.552
114008_7,18,2,0.9,20,0.9
114008_8,93,5,0.949,98,0.949
114010_0,305326,439161,0.41,744487,0.41
114010_2,165047,196689,0.456,361736,0.456
114010_5,70894,58325,0.549,129219,0.549
114010_6,37555,22624,0.624,60179,0.624
114010_8,1837,787,0.7,2624,0.7
114011_3,1720,1749,0.496,3469,0.496
114011_5,2864,2852,0.501,5716,0.501
114011_6,303758,370140,0.451,673898,0.451
114011_7,49846,56828,0.467,106674,0.467
114011_8,199435,308280,0.393,507715,0.393
114012_0,549599,535255,0.507,1084854,0.507
114012_1,13472,3818,0.779,17290,0.779
114012_2,132379,53689,0.711,186068,0.711
114012_3,6623,1335,0.832,7958,0.832
114012_5,282,20,0.934,302,0.934
114013_0,424524,468513,0.475,893037,0.475
114013_1,132122,143647,0.479,275769,0.479
114013_2,66161,25216,0.724,91377,0.724
114013_5,4164,638,0.867,4802,0.867
114013_8,22963,6325,0.784,29288,0.784
114018_0,264669,412307,0.391,676976,0.391
114018_1,98870,152430,0.393,251300,0.393
114018_2,50628,51618,0.495,102246,0.495
114018_6,16047,10165,0.612,26212,0.612
114018_8,99760,140037,0.416,239797,0.416
114019_2,762,1789,0.299,2551,0.299
114019_4,202276,311199,0.394,513475,0.394
114019_5,240587,385901,0.384,626488,0.384
114019_7,2772,1948,0.587,4720,0.587
114019_8,65189,84046,0.437,149235,0.437
114020_0,90240,60181,0.6,150421,0.6
114020_1,1185,332,0.781,1517,0.781
114020_2,568087,506971,0.528,1075058,0.528
114020_5,45865,16498,0.735,62363,0.735
114020_8,6293,1696,0.788,7989,0.788
114021_0,62136,23926,0.722,86062,0.722
114021_3,9330,1946,0.827,11276,0.827
114021_5,465,46,0.91,511,0.91
114021_8,706978,490536,0.59,1197514,0.59
114023_4,33424,109860,0.233,143284,0.233
114023_5,257,822,0.238,1079,0.238
114023_6,283866,474166,0.374,758032,0.374
114023_7,70509,109739,0.391,180248,0.391
114023_8,93318,120875,0.436,214193,0.436
114024_2,13897,27105,0.339,41002,0.339
114024_5,87991,167407,0.345,255398,0.345
114024_6,49227,93852,0.344,143079,0.344
114024_7,240317,323222,0.426,563539,0.426
114024_8,128267,164237,0.439,292504,0.439
114025_2,213,65,0.766,278,0.766
114025_3,124228,77958,0.614,202186,0.614
114025_5,556611,523903,0.515,1080514,0.515
114025_6,2849,599,0.826,3448,0.826
114025_8,6704,2171,0.755,8875,0.755
114026_0,121840,85134,0.589,206974,0.589
114026_2,480241,507715,0.486,987956,0.486
114026_3,613,102,0.857,715,0.857
114026_6,70654,26288,0.729,96942,0.729
114026_8,2904,817,0.78,3721,0.78
114027_7,180474,95623,0.654,276097,0.654
114027_8,567473,451536,0.557,1019009,0.557
114031_0,27121,37433,0.42,64554,0.42
114031_1,278699,516719,0.35,795418,0.35
114031_2,7831,8846,0.47,16677,0.47
114031_7,190662,172068,0.526,362730,0.526
114031_8,23714,34352,0.408,58066,0.408
114032_0,123729,166692,0.426,290421,0.426
114032_1,252582,458841,0.355,711423,0.355
114032_2,93607,107821,0.465,201428,0.465
114032_4,4336,5703,0.432,10039,0.432
114032_7,44035,38988,0.53,83023,0.53
114033_5,737173,559064,0.569,1296237,0.569
114033_6,9,1,0.9,10,0.9
114034_3,4618,7795,0.372,12413,0.372
114034_5,38039,59133,0.391,97172,0.391
114034_6,301503,392177,0.435,693680,0.435
114034_7,27041,30392,0.471,57433,0.471
114034_8,167621,267974,0.385,435595,0.385
114035_3,9293,22815,0.289,32108,0.289
114035_5,17975,41404,0.303,59379,0.303
114035_6,417822,591365,0.414,1009187,0.414
114035_7,67517,82706,0.449,150223,0.449
114035_8,20973,23377,0.473,44350,0.473
114036_6,134770,55606,0.708,190376,0.708
114036_8,640089,465912,0.579,1106001,0.579
114038_3,11628,7935,0.594,19563,0.594
114038_5,481817,514505,0.484,996322,0.484
114038_6,153690,127264,0.547,280954,0.547
114038_7,544,171,0.761,715,0.761
114038_8,973,541,0.643,1514,0.643
114039_0,10935,3448,0.76,14383,0.76
114039_1,470347,463679,0.504,934026,0.504
114039_4,209812,136846,0.605,346658,0.605
114039_7,1675,301,0.848,1976,0.848
114040_0,185,20,0.902,205,0.902
114040_2,58519,32993,0.639,91512,0.639
114040_3,4599,892,0.838,5491,0.838
114040_5,690843,507884,0.576,1198727,0.576
114040_8,8,0,1.0,8,1.0
114041_1,56625,119995,0.321,176620,0.321
114041_4,24126,32687,0.425,56813,0.425
114041_6,1705,1382,0.552,3087,0.552
114041_7,390056,554563,0.413,944619,0.413
114041_8,42089,73825,0.363,115914,0.363
114042_1,582453,435415,0.572,1017868,0.572
114042_4,192133,84620,0.694,276753,0.694
114042_7,18,7,0.72,25,0.72
114043_1,29075,38773,0.429,67848,0.429
114043_4,9207,7337,0.557,16544,0.557
114043_6,353,200,0.638,553,0.638
114043_7,499742,712505,0.412,1212247,0.412
114043_8,41,11,0.788,52,0.788
114044_3,2558,769,0.769,3327,0.769
114044_5,225047,158307,0.587,383354,0.587
114044_6,31930,15821,0.669,47751,0.669
114044_7,84,16,0.84,100,0.84
114044_8,415464,446878,0.482,862342,0.482
114045_0,72070,56981,0.558,129051,0.558
114045_2,21164,9324,0.694,30488,0.694
114045_3,5119,1501,0.773,6620,0.773
114045_5,405957,431415,0.485,837372,0.485
114045_8,136915,154622,0.47,291537,0.47
114046_2,1072,685,0.61,1757,0.61
114046_5,19506,17672,0.525,37178,0.525
114046_6,310282,355978,0.466,666260,0.466
114046_7,16465,13856,0.543,30321,0.543
114046_8,220546,339674,0.394,560220,0.394
114049_4,12600,9517,0.57,22117,0.57
114049_5,178388,161051,0.526,339439,0.526
114049_7,140960,116728,0.547,257688,0.547
114049_8,284585,392484,0.42,677069,0.42
114051_2,162437,125413,0.564,287850,0.564
114051_3,1076,314,0.774,1390,0.774
114051_5,429096,483221,0.47,912317,0.47
114051_6,17760,5932,0.75,23692,0.75
114051_8,42864,27478,0.609,70342,0.609
114060_2,915170,381556,0.706,1296726,0.706
114061_0,77924,19816,0.797,97740,0.797
114061_1,740531,457699,0.618,1198230,0.618
114062_8,795633,502686,0.613,1298319,0.613
114063_2,240895,260974,0.48,501869,0.48
114063_5,62866,42058,0.599,104924,0.599
114063_6,46047,23566,0.661,69613,0.661
114063_7,2730,1067,0.719,3797,0.719
114063_8,262065,353465,0.426,615530,0.426
114083_3,886417,409544,0.684,1295961,0.684
114084_0,139222,45925,0.752,185147,0.752
114084_1,667952,438474,0.604,1106426,0.604
114084_2,4876,588,0.892,5464,0.892
114084_4,188,22,0.895,210,0.895
114085_0,482727,516183,0.483,998910,0.483
114085_2,153204,97815,0.61,251019,0.61
114085_3,33171,10017,0.768,43188,0.768
114085_5,76,13,0.854,89,0.854
114085_6,3368,697,0.829,4065,0.829
114086_4,11933,67115,0.151,79048,0.151
114086_5,28672,69309,0.293,97981,0.293
114086_6,119132,251377,0.322,370509,0.322
114086_7,219944,340427,0.392,560371,0.392
114086_8,89223,97498,0.478,186721,0.478
114087_1,311,341,0.477,652,0.477
114087_4,67590,115084,0.37,182674,0.37
114087_5,922,640,0.59,1562,0.59
