hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
112001_0,377977,491381,0.435,869358,0.435
112001_1,118200,149220,0.442,267420,0.442
112001_2,67213,41980,0.616,109193,0.616
112001_3,30761,14079,0.686,44840,0.686
112001_5,4400,1107,0.799,5507,0.799
112002_0,209,7,0.968,216,0.968
112002_1,45601,22031,0.674,67632,0.674
112002_2,632582,547345,0.536,1179927,0.536
112002_6,6769,578,0.921,7347,0.921
112002_8,30430,10162,0.75,40592,0.75
112008_5,9276,1789,0.838,11065,0.838
112008_6,193443,72169,0.728,265612,0.728
112008_7,10,0,1.0,10,1.0
112008_8,557797,462273,0.547,1020070,0.547
112010_0,342635,451591,0.431,794226,0.431
112010_3,3684,3284,0.529,6968,0.529
112010_5,164075,193891,0.458,357966,0.458
112010_6,63902,64778,0.497,128680,0.497
112010_8,3645,3236,0.53,6881,0.53
112011_3,1132,881,0.562,2013,0.562
112011_5,3569,2637,0.575,6206,0.575
112011_6,281530,345363,0.449,626893,0.449
112011_7,57027,60136,0.487,117163,0.487
112011_8,212320,331259,0.391,543579,0.391
112012_0,538756,532675,0.503,1071431,0.503
112012_1,11428,4896,0.7,16324,0.7
112012_2,120418,75062,0.616,195480,0.616
112012_3,10026,2203,0.82,12229,0.82
112012_6,586,53,0.917,639,0.917
112013_0,108464,59159,0.647,167623,0.647
112013_1,18985,12004,0.613,30989,0.613
112013_2,533398,544824,0.495,1078222,0.495
112013_5,2217,263,0.894,2480,0.894
112013_8,13929,3732,0.789,17661,0.789
112018_0,290827,436804,0.4,727631,0.4
112018_1,33157,49055,0.403,82212,0.403
112018_2,101085,144934,0.411,246019,0.411
112018_6,16070,10099,0.614,26169,0.614
112018_8,91109,124337,0.423,215446,0.423
112019_4,39294,97429,0.287,136723,0.287
112019_5,302544,462277,0.396,764821,0.396
112019_7,165758,197403,0.456,363161,0.456
112019_8,9690,21354,0.312,31044,0.312
112020_0,20482,13176,0.609,33658,0.609
112020_2,456394,515382,0.47,971776,0.47
112020_5,161738,118369,0.577,280107,0.577
112020_6,963,338,0.74,1301,0.74
112020_8,6391,3191,0.667,9582,0.667
112021_3,919396,376944,0.709,1296340,0.709
112023_2,8285,26480,0.238,34765,0.238
112023_5,27035,67643,0.286,94678,0.286
112023_6,109652,237146,0.316,346798,0.316
112023_7,240108,330261,0.421,570369,0.421
112023_8,104655,144005,0.421,248660,0.421
112024_2,23421,42864,0.353,66285,0.353
112024_5,3792,6812,0.358,10604,0.358
112024_6,105811,215164,0.33,320975,0.33
112024_7,260776,353070,0.425,613846,0.425
112024_8,121606,163010,0.427,284616,0.427
112025_2,208,20,0.912,228,0.912
112025_3,565860,539114,0.512,1104974,0.512
112025_5,117577,55529,0.679,173106,0.679
112025_6,12210,4132,0.747,16342,0.747
112025_8,448,136,0.767,584,0.767
112026_0,696,199,0.778,895,0.778
112026_2,59029,42457,0.582,101486,0.582
112026_5,571684,602259,0.487,1173943,0.487
112026_6,14074,5662,0.713,19736,0.713
112026_7,55,13,0.809,68,0.809
112027_7,77894,20182,0.794,98076,0.794
112027_8,792240,406324,0.661,1198564,0.661
112031_0,27948,38789,0.419,66737,0.419
112031_1,255350,492775,0.341,748125,0.341
112031_6,8250,11234,0.423,19484,0.423
112031_7,138181,124697,0.526,262878,0.526
112031_8,94908,105069,0.475,199977,0.475
112032_0,147232,186577,0.441,333809,0.441
112032_1,233534,447263,0.343,680797,0.343
112032_2,88762,99224,0.472,187986,0.472
112032_7,45837,41899,0.522,87736,0.522
112032_8,2924,3294,0.47,6218,0.47
112033_0,631718,530652,0.543,1162370,0.543
112033_2,43,12,0.782,55,0.782
112033_3,756,179,0.809,935,0.809
112033_5,86955,39523,0.688,126478,0.688
112033_8,4362,1890,0.698,6252,0.698
112034_3,3144,4520,0.41,7664,0.41
112034_5,232416,349640,0.399,582056,0.399
112034_6,101211,124224,0.449,225435,0.449
112034_7,22618,23624,0.489,46242,0.489
112034_8,167318,268942,0.384,436260,0.384
112035_3,6410,16201,0.283,22611,0.283
112035_5,23367,55735,0.295,79102,0.295
112035_6,409018,606928,0.403,1015946,0.403
112035_7,62810,73928,0.459,136738,0.459
112035_8,18905,24002,0.441,42907,0.441
112036_8,876594,419246,0.676,1295840,0.676
112038_2,615,162,0.792,777,0.792
112038_3,4580,1901,0.707,6481,0.707
112038_5,496311,551041,0.474,1047352,0.474
112038_6,120802,108379,0.527,229181,0.527
112038_8,7658,6406,0.545,14064,0.545
112039_1,428701,432661,0.498,861362,0.498
112039_4,260964,174720,0.599,435684,0.599
112039_7,599,98,0.859,697,0.859
112040_0,238,16,0.937,254,0.937
112040_2,4938,958,0.838,5896,0.838
112040_3,14,5,0.737,19,0.737
112040_5,723306,566735,0.561,1290041,0.561
112040_8,6,0,1.0,6,1.0
112041_1,45964,99598,0.316,145562,0.316
112041_4,2489,3320,0.428,5809,0.428
112041_6,26139,28759,0.476,54898,0.476
112041_7,416869,590703,0.414,1007572,0.414
112041_8,30305,50683,0.374,80988,0.374
112042_0,234878,105876,0.689,340754,0.689
112042_1,511243,426234,0.545,937477,0.545
112042_4,14372,3013,0.827,17385,0.827
112042_7,4,0,1.0,4,1.0
112043_1,19929,23797,0.456,43726,0.456
112043_4,7953,5480,0.592,13433,0.592
112043_6,149,62,0.706,211,0.706
112043_7,517744,724811,0.417,1242555,0.417
112043_8,12,1,0.923,13,0.923
112044_3,1298,174,0.882,1472,0.882
112044_5,20277,5322,0.792,25599,0.792
112044_6,674442,595311,0.531,1269753,0.531
112044_7,76,4,0.95,80,0.95
112045_0,213293,170660,0.556,383953,0.556
112045_2,12244,6309,0.66,18553,0.66
112045_5,66153,37236,0.64,103389,0.64
112045_6,3494,1312,0.727,4806,0.727
112045_8,324277,460854,0.413,785131,0.413
112046_2,745,424,0.637,1169,0.637
112046_5,29446,24360,0.547,53806,0.547
112046_6,284216,332418,0.461,616634,0.461
112046_7,14188,12198,0.538,26386,0.538
112046_8,235223,362483,0.394,597706,0.394
112049_4,439,154,0.74,593,0.74
112049_5,229250,194432,0.541,423682,0.541
112049_6,80067,56780,0.585,136847,0.585
112049_7,11302,4938,0.696,16240,0.696
112049_8,294488,422112,0.411,716600,0.411
112051_0,648,198,0.766,846,0.766
112051_2,417785,474795,0.468,892580,0.468
112051_5,177719,155069,0.534,332788,0.534
112051_6,40639,27154,0.599,67793,0.599
112051_8,1848,1186,0.609,3034,0.609
112060_2,878345,418220,0.677,1296565,0.677
112061_0,13585,2010,0.871,15595,0.871
112061_1,575063,444500,0.564,1019563,0.564
112061_2,199163,61668,0.764,260831,0.764
112061_5,784,59,0.93,843,0.93
112062_6,146602,43202,0.772,189804,0.772
112062_8,619849,487699,0.56,1107548,0.56
112063_2,210492,230851,0.477,441343,0.477
112063_4,111040,85537,0.565,196577,0.565
112063_5,1156,442,0.723,1598,0.723
112063_8,274177,382235,0.418,656412,0.418
112083_3,774205,423543,0.646,1197748,0.646
112083_5,74124,23484,0.759,97608,0.759
112084_0,139356,45164,0.755,184520,0.755
112084_1,663498,443953,0.599,1107451,0.599
112084_2,4695,635,0.881,5330,0.881
112084_4,201,15,0.931,216,0.931
112085_0,464539,511079,0.476,975618,0.476
112085_1,176,35,0.834,211,0.834
112085_2,129287,112717,0.534,242004,0.534
112085_3,44917,21461,0.677,66378,0.677
112085_6,9254,2512,0.787,11766,0.787
112086_4,8193,46191,0.151,54384,0.151
112086_5,35258,92674,0.276,127932,0.276
112086_6,120984,237052,0.338,358036,0.338
112086_7,223945,339941,0.397,563886,0.397
112086_8,90494,102004,0.47,192498,0.47
112087_1,39252,75083,0.343,114335,0.343
112087_4,20401,20164,0.503,40565,0.503
112087_5,551,449,0.551,1000,0.551
112087_7,458982,637764,0.418,1096746,0.418
112087_8,16729,27391,0.379,44120,0.379
112088_1,11826,8788,0.574,20614,0.574
112088_2,308,41,0.883,349,0.883
112088_6,4525,1388,0.765,5913,0.765
112088_7,228573,182340,0.556,410913,0.556
112088_8,380363,477337,0.443,857700,0.443
112089_2,351,58,0.858,409,0.858
112089_5,15,1,0.938,16,0.938
112089_6,4184,889,0.825,5073,0.825
112089_7,221727,132651,0.626,354378,0.626
112089_8,431592,504265,0.461,935857,0.461
112090_2,1122,319,0.779,1441,0.779
112090_3,113148,138441,0.45,251589,0.45
112090_5,449984,512466,0.468,962450,0.468
112090_6,44618,30613,0.593,75231,0.593
112090_8,3745,2215,0.628,5960,0.628
112092_1,831640,462640,0.643,1294280,0.643
112093_2,23806,39273,0.377,63079,0.377
112093_4,4231,7514,0.36,11745,0.36
112093_5,79271,133059,0.373,212330,0.373
112093_7,269986,381954,0.414,651940,0.414
112093_8,146882,212629,0.409,359511,0.409
112094_1,1803,6014,0.231,7817,0.231
112094_2,3041,3979,0.433,7020,0.433
112094_4,173045,466741,0.27,639786,0.27
112094_7,270827,367378,0.424,638205,0.424
112094_8,173,189,0.478,362,0.478
112095_1,1280,1408,0.476,2688,0.476
112095_2,36310,44850,0.447,81160,0.447
112095_6,11228,11661,0.491,22889,0.491
112095_7,309204,388368,0.443,697572,0.443
112095_8,195692,297293,0.397,492985,0.397
112096_2,2326,663,0.778,2989,0.778
112096_3,487477,532753,0.478,1020230,0.478
112096_4,175368,98741,0.64,274109,0.64
112096_5,148,26,0.851,174,0.851
112097_3,10296,33848,0.233,44144,0.233
112097_5,71499,130814,0.353,202313,0.353
112097_6,293464,457970,0.391,751434,0.391
112097_7,29902,47349,0.387,77251,0.387
