hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
113001_0,304889,464922,0.396,769811,0.396
113001_1,169523,180460,0.484,349983,0.484
113001_2,70796,40591,0.636,111387,0.636
113001_3,40904,18052,0.694,58956,0.694
113001_4,4404,1546,0.74,5950,0.74
113002_0,35988,15655,0.697,51643,0.697
113002_1,85348,52569,0.619,137917,0.619
113002_2,581770,511383,0.532,1093153,0.532
113002_7,12214,2144,0.851,14358,0.851
113008_6,149798,40581,0.787,190379,0.787
113008_8,642470,464619,0.58,1107089,0.58
113010_0,269692,431609,0.385,701301,0.385
113010_2,22451,14007,0.616,36458,0.616
113010_3,234563,248157,0.486,482720,0.486
113010_6,7076,3136,0.693,10212,0.693
113010_8,35630,28744,0.553,64374,0.553
113011_3,1336,1551,0.463,2887,0.463
113011_5,8489,8897,0.488,17386,0.488
113011_6,48837,72852,0.401,121689,0.401
113011_7,277392,292246,0.487,569638,0.487
113011_8,218945,366703,0.374,585648,0.374
113012_0,457838,521302,0.468,979140,0.468
113012_1,27698,9521,0.744,37219,0.744
113012_2,176294,80631,0.686,256925,0.686
113012_3,418,56,0.882,474,0.882
113012_6,17500,4270,0.804,21770,0.804
113013_0,128190,91850,0.583,220040,0.583
113013_1,37824,20718,0.646,58542,0.646
113013_2,492674,492826,0.5,985500,0.5
113013_5,4207,477,0.898,4684,0.898
113013_8,21340,5716,0.789,27056,0.789
113018_0,183058,314106,0.368,497164,0.368
113018_1,118071,164765,0.417,282836,0.417
113018_6,70848,63868,0.526,134716,0.526
113018_7,6820,4637,0.595,11457,0.595
113018_8,146454,223555,0.396,370009,0.396
113019_3,115846,199548,0.367,315394,0.367
113019_5,338075,487123,0.41,825198,0.41
113019_6,22570,34129,0.398,56699,0.398
113019_7,3366,4197,0.445,7563,0.445
113019_8,39093,52077,0.429,91170,0.429
113020_0,132286,129035,0.506,261321,0.506
113020_2,415303,459186,0.475,874489,0.475
113020_3,3420,1069,0.762,4489,0.762
113020_5,91326,43558,0.677,134884,0.677
113020_8,16076,8199,0.662,24275,0.662
113021_0,957733,339077,0.739,1296810,0.739
113023_2,9416,31532,0.23,40948,0.23
113023_5,31726,70840,0.309,102566,0.309
113023_6,125282,268303,0.318,393585,0.318
113023_7,240492,321222,0.428,561714,0.428
113023_8,87470,109565,0.444,197035,0.444
113024_1,4967,11480,0.302,16447,0.302
113024_5,115582,189119,0.379,304701,0.379
113024_6,28177,61216,0.315,89393,0.315
113024_7,244713,345120,0.415,589833,0.415
113024_8,127094,168563,0.43,295657,0.43
113025_2,37,7,0.841,44,0.841
113025_3,6934,1578,0.815,8512,0.815
113025_5,662077,624416,0.515,1286493,0.515
113025_6,251,29,0.896,280,0.896
113025_8,3,0,1.0,3,1.0
113026_2,73414,68664,0.517,142078,0.517
113026_3,532909,568002,0.484,1100911,0.484
113026_4,69,25,0.734,94,0.734
113026_5,34418,17787,0.659,52205,0.659
113026_6,2469,844,0.745,3313,0.745
113027_7,81250,16726,0.829,97976,0.829
113027_8,827112,371816,0.69,1198928,0.69
113031_0,30721,51482,0.374,82203,0.374
113031_1,217384,359135,0.377,576519,0.377
113031_2,12924,13083,0.497,26007,0.497
113031_7,109419,88320,0.553,197739,0.553
113031_8,151400,260648,0.367,412048,0.367
113032_0,112222,167013,0.402,279235,0.402
113032_1,256935,471806,0.353,728741,0.353
113032_2,95318,97176,0.495,192494,0.495
113032_4,5737,4896,0.54,10633,0.54
113032_7,50263,36117,0.582,86380,0.582
113033_0,192620,101485,0.655,294105,0.655
113033_3,63,3,0.955,66,0.955
